snr_weak_db,amplitude_ratio_weak_to_strong,amplitude_ratio_value,separation_hz,replicate,center_hz,true_frequency_1_hz,true_frequency_2_hz,weak_amplitude,strong_amplitude,noise_std,phase_1_rad,phase_2_rad,phase_difference_abs_rad,phase_bin,detector,estimated_k,success,max_frequency_error_hz,tolerance_hz,estimated_frequencies_hz,bic_improvement,candidate_origin,conditional_glrt_statistic,conditional_glrt_threshold,condition_design,ill_conditioned,runtime_seconds,signal_generation_runtime_seconds,detector_runtime_seconds,trial_total_runtime_seconds,fit_backend
-6.0,1:3,3,0.001,7,5.0,4.9995,5.0005,0.01,0.03,0.014108635131604638,2.879430782140214,-1.8964914821450547,1.5072630428943177,3,complete,2,False,0.0005021488124441476,0.00025,4.99899785119;5.00062192118,1402.7076741736382,split_0.10_over_T,nan,nan,1.5972981189138749,False,2.0477587999994284,0.004385699998238124,2.0477587999994284,2.0522828999964986,dense
-6.0,1:3,3,0.002,0,5.0,4.999,5.001,0.01,0.03,0.014108635131604638,1.990386055029079,-0.9671229593899908,2.95750901441907,7,complete,3,False,nan,0.0005,4.99879411668;5.0003210433;5.00114581399,89.96550032531377,split_0.65_over_T,nan,nan,5.648545547116813,False,4.994575099997746,0.0013825999994878657,4.994575099997746,4.996001300001808,dense
-6.0,1:3,3,0.002,1,5.0,4.999,5.001,0.01,0.03,0.014108635131604638,0.034838433665411284,2.076457205792484,2.0416187721270727,5,complete,2,True,3.7750867876162886e-05,0.0005,4.99903775087;5.00098860567,8443.931867048668,local_close_pair_resolver,nan,nan,1.3044313754929455,False,1.9934974999996484,0.0022022000048309565,1.9934974999996484,1.9958071000000928,dense
-6.0,1:3,3,0.002,2,5.0,4.999,5.001,0.01,0.03,0.014108635131604638,-0.8714686651588632,1.6700050665285806,2.541473731687444,6,complete,2,True,3.3592099447865564e-05,0.0005,4.9990335921;5.00099199277,7801.997477587429,local_close_pair_resolver,nan,nan,1.2988770285964206,False,1.9509497999970336,0.0015048999994178303,1.9509497999970336,1.9525435000032303,dense
-6.0,1:3,3,0.002,3,5.0,4.999,5.001,0.01,0.03,0.014108635131604638,2.7452567486497177,1.8841708652026963,0.8610858834470214,2,complete,2,True,1.1646658029995649e-05,0.0005,4.99898835334;5.00099692279,8518.860439262993,local_close_pair_resolver,nan,nan,1.2630990398665611,False,1.8712622000020929,0.0018290000007255003,1.8712622000020929,1.8731810000026599,dense
-6.0,1:3,3,0.002,4,5.0,4.999,5.001,0.01,0.03,0.014108635131604638,1.9435190547752104,-0.9254605926694057,2.868979647444616,7,complete,3,False,nan,0.0005,4.99877545818;5.00055623502;5.00104349386,138.18002846150193,split_0.65_over_T,nan,nan,8.64734873024271,False,5.056682399997953,0.001385100003972184,5.056682399997953,5.058151400000497,dense
-6.0,1:3,3,0.002,5,5.0,4.999,5.001,0.01,0.03,0.014108635131604638,1.388959105447884,-2.5566195984489277,2.337606603282775,5,complete,2,True,3.4946183331108216e-05,0.0005,4.99896505382;5.00099298861,7922.927426705661,local_close_pair_resolver,nan,nan,1.249807331016852,False,1.9196939999965252,0.0017752999992808327,1.9196939999965252,1.9215614999993704,dense
-6.0,1:3,3,0.002,6,5.0,4.999,5.001,0.01,0.03,0.014108635131604638,0.8477904537150076,1.7535585885499554,0.9057681348349478,2,complete,2,True,9.43537328650379e-05,0.0005,4.99890564627;5.0010362691,4972.114262564515,local_close_pair_resolver,nan,nan,1.1838690228696271,False,1.9395570999986376,0.0017568000039318576,1.9395570999986376,1.941504200003692,dense
-6.0,1:3,3,0.002,7,5.0,4.999,5.001,0.01,0.03,0.014108635131604638,1.1688329890373161,-2.5168930790686352,2.5974592390736353,6,complete,2,True,2.607774265861451e-06,0.0005,4.99899871431;5.00100260777,7473.127674704127,local_close_pair_resolver,nan,nan,1.2663525739323913,False,2.291870099994412,0.003352100000483915,2.291870099994412,2.295796100006555,dense
-6.0,1:3,3,0.0025,0,5.0,4.99875,5.00125,0.01,0.03,0.014108635131604638,-1.8083869197762665,-1.6419993097675971,0.16638761000866942,0,complete,2,True,0.00012878639025348804,0.000625,4.99862121361;5.0012937799,6686.9082527906285,local_close_pair_resolver,nan,nan,1.066296122834618,False,2.028784000001906,0.0014378999985638075,2.028784000001906,2.0302867999998853,dense
