snr_weak_db,amplitude_ratio_weak_to_strong,amplitude_ratio_value,separation_hz,rayleigh_multiples,runs,successes,success_rate,success_ci95_low,success_ci95_high,mean_max_frequency_error_hz_if_success,median_condition_design,ill_conditioned_rate,mean_runtime_seconds
-12.0,1:10,10,0.001,0.4,200,106,0.53,0.46091557335361155,0.5979536662912893,8.515645799094e-05,2.808428250459439,0.0,2.5849169769999025
-12.0,1:10,10,0.002,0.8,200,151,0.755,0.6909563161285153,0.809432220853141,0.00010397780990134332,1.2778487427393288,0.0,3.5608185310000042
-12.0,1:10,10,0.0025,1.0,200,164,0.82,0.7608840628376157,0.8670544933746589,6.06398398982653e-05,1.0177041521111634,0.0,3.329096078500115
-12.0,1:10,10,0.003,1.2,200,200,1.0,0.9811539940816791,1.0,3.285813171664653e-05,1.1718445947843272,0.0,2.623073904000066
-12.0,1:10,10,0.004,1.6,200,200,1.0,0.9811539940816791,1.0,2.5675989523450403e-05,1.2114638944416525,0.0,2.6253427300000114
-12.0,1:10,10,0.005,2.0,200,200,1.0,0.9811539940816791,1.0,2.2491030913078804e-05,1.0039574968185754,0.0,2.641309407499884
-12.0,1:10,10,0.008,3.2,200,200,1.0,0.9811539940816791,1.0,2.4138555685051523e-05,1.0606846198461362,0.0,2.129751901499949
-12.0,1:10,10,0.01,4.0,200,200,1.0,0.9811539940816791,1.0,2.3338046199117278e-05,1.0020170584618735,0.0,2.002894737000206
-12.0,1:10,10,0.015,6.0,200,200,1.0,0.9811539940816791,1.0,1.952380533056797e-05,1.001072034014748,0.0,2.0301126640000255
-12.0,1:10,10,0.02,8.0,200,200,1.0,0.9811539940816791,1.0,2.2323749881403286e-05,1.000968563098092,0.0,0.41779984799997694
-18.0,1:1,1,0.001,0.4,200,64,0.32,0.2592642960770526,0.38752026605354306,0.00014043721370309015,1.4622814833299682,0.0,1.9255915669999377
-18.0,1:1,1,0.002,0.8,200,198,0.99,0.9642775148038205,0.9972533993962251,0.00011978023195939589,1.2434071165271692,0.0,2.6156746890000067
-18.0,1:1,1,0.0025,1.0,200,200,1.0,0.9811539940816791,1.0,9.290741469969444e-05,1.0275043964177064,0.0,2.643980192999861
-18.0,1:1,1,0.003,1.2,200,200,1.0,0.9811539940816791,1.0,8.144452216742426e-05,1.1724990669574222,0.0,2.610739073999939
-18.0,1:1,1,0.004,1.6,200,200,1.0,0.9811539940816791,1.0,6.289035516023223e-05,1.211845126530107,0.0,2.5980608874999236
