point_index,point_id,region,x,y,z,nx,ny,nz,noise_std,installable,response_abs_4Hz,response_phase_4Hz,response_abs_8Hz,response_phase_8Hz,response_abs_13Hz,response_phase_13Hz,response_abs_14Hz,response_phase_14Hz
24,v1_p024,bearing_zone_left,-0.9602255300016764,-0.5020588151920331,0.15981368129099832,-0.16902743088797595,-0.12274563086586994,0.977938258639445,0.8378291965845303,True,0.8812316417584581,2.6583280646543814,0.1794616816481007,0.877872031668619,0.2140265619371493,-1.9982918739670916,0.12928716165310308,-3.0860154174117382
25,v1_p025,bearing_zone_right,0.9237845778238631,-0.40176390118025007,0.15479703757078475,0.16322977696720103,-0.09859777069576597,0.9816488779217664,1.1379535181247449,True,0.1671799509494507,-2.030736727436486,0.7458866979296227,-1.5092038600186417,0.18712394780175043,2.572780190233188,0.3235422809036931,-2.476297040834308
26,v1_p026,gearbox_zone_left,-0.40737670931382464,0.4451653517375596,0.5194071987110891,-0.07268510621486482,0.11031589481365668,0.9912352287353372,0.78362535785256,True,0.34627235421417724,-0.03507879981835351,0.23638647621655431,-1.7231769955176055,1.0772067411827726,2.7656508578187946,0.29141224785471964,2.8040016655160143
27,v1_p027,gearbox_zone_right,0.48911511342496133,0.39465160682593003,0.5275220787364273,0.08728095014612176,0.09781146456295925,0.9913702401936622,1.3281585793423683,True,0.1746433485396758,-2.840157404333596,0.570852605006583,-1.3380656368769466,0.3650840005694791,-1.2831135148385122,0.9012394615080754,-0.8976012055878919
28,v1_p028,input_shaft_zone,-1.2770761823593773,0.1564590134187933,-0.1756743031181708,-0.22386819693941137,0.03809286933962844,0.973874716636884,1.22748640877914,True,0.5712096399749936,-2.476187279416082,0.14627683766696262,-0.6631212010903598,0.2940858185064109,-1.1740324719270712,0.13545542595774415,1.355622671152345
29,v1_p029,output_shaft_zone,1.3208151549929705,0.09208615441007136,-0.07423542477413521,0.2312416526936573,0.022391637862055246,0.9726386341357002,1.0336234423831074,True,0.11521279636248008,0.7178702523253401,0.48216431468566895,2.1136971927357897,0.2018872898357986,1.044567896326028,0.3661077928437946,-0.689578626720743
30,v1_p030,bearing_zone_left,-1.125706100677264,-0.4748517935377138,0.14951500108475904,-0.19726058614247105,-0.11556887503232442,0.9735153292467932,0.9567377847079154,True,0.9934551556957298,2.4061087587421475,0.16306228345643067,2.3314493436521344,0.2050640549510937,-0.9495310689241245,0.1210216344109061,-1.173444374776311
31,v1_p031,bearing_zone_right,1.0703089059842998,-0.3379901226781119,0.1692213416587413,0.18852899469527634,-0.08268762629747164,0.9785803874064094,1.0226784124607398,True,0.1546829085550471,-1.383029397632035,0.8124167587868295,-1.6767386275443716,0.18067203414363606,-2.620656181510982,0.3237473907994535,-2.594468702170599
32,v1_p032,gearbox_zone_left,-0.45798109757178795,0.32390873107342427,0.5104611275803774,-0.08189165708113642,0.08044188963040563,0.9933895806244372,0.9124220784466316,True,0.3827447695425247,-0.5231171039866745,0.23481545221427025,-1.7249910563441027,0.8760436970438444,-1.9550051766471612,0.2695317810084113,-2.193275289718291
33,v1_p033,gearbox_zone_right,0.41721898725570644,0.509699545001049,0.48423598616870367,0.07429117929043039,0.12605350826470105,0.9892377538963008,1.1363609183601486,True,0.17739023551737887,-2.998037028848018,0.5065949450453834,-0.475744858646245,0.4002299791567378,-2.877271702791586,0.9943130966314763,-2.139028235948594
34,v1_p034,input_shaft_zone,-1.120443862318277,0.10805009588820963,-0.12851760339478585,-0.1976300093083648,0.026470091916139988,0.9799192383327959,1.5768362420088808,False,0.6835181341373899,-2.9494375115423637,0.1614140262615695,-2.183405458440377,0.3325111125506436,-2.9973567504280796,0.15162647437531995,-0.9460581057706335
35,v1_p035,output_shaft_zone,1.161719684963344,0.048428674651934206,-0.1610514999268021,0.204667997876268,0.011850009000910688,0.9787597192018062,0.9168534869627597,True,0.12154257336873563,-0.006423790981581015,0.6680874629151542,1.1571133939169884,0.23323291824986037,-0.5387566733687001,0.41085811793731625,-1.3069060099623269
