rank,layout,sensor_count,mean_pd_source,low_snr_pd_source,mean_pd_all,mean_p_fa,mean_balance_variance,score
14,bearing_left+gearbox_left,2,0.7015625,0.5546875,0.5,0.07333333333333333,0.029650065104166668,0.5400708007812499
15,bearing_left+bearing_right+gearbox_right,3,0.6151041666666667,0.48281250000000003,0.18541666666666667,0.016666666666666666,0.08850748697916667,0.53751708984375
16,bearing_left+output_shaft,2,0.6395833333333334,0.5,0.23750000000000002,0.0375,0.09368815104166667,0.5177392578125001
17,bearing_right+gearbox_left,2,0.7218749999999999,0.5859375,0.5125000000000001,0.09833333333333334,0.029163411458333333,0.5106266276041667
18,gearbox_left+output_shaft,2,0.6817708333333333,0.52265625,0.4458333333333333,0.0775,0.048400065104166674,0.50257080078125
19,bearing_left+gearbox_right+input_shaft,3,0.6145833333333334,0.478125,0.2020833333333333,0.0375,0.08192382812499999,0.4986214192708333
20,bearing_left+bearing_right+input_shaft,3,0.5692708333333334,0.43671875,0.12291666666666667,0.016666666666666666,0.09189615885416667,0.48998942057291667
21,bearing_right+output_shaft,2,0.64375,0.49609375,0.27499999999999997,0.055,0.08757486979166666,0.48996256510416664
22,gearbox_left,1,0.6395833333333333,0.48828125,0.3666666666666667,0.06666666666666667,0.03627278645833333,0.4881136067708333
23,gearbox_left+gearbox_right,2,0.6828124999999999,0.52734375,0.45625,0.08916666666666667,0.03405436197916666,0.48745198567708337
24,gearbox_left+input_shaft,2,0.6958333333333333,0.54453125,0.5020833333333333,0.10083333333333332,0.02001302083333333,0.48416015625
25,bearing_right+gearbox_right,2,0.6354166666666666,0.49921875000000004,0.2625,0.06083333333333334,0.07264322916666667,0.4774283854166666
26,gearbox_right+input_shaft+output_shaft,3,0.6364583333333335,0.48515625000000007,0.32916666666666666,0.06416666666666666,0.06373697916666668,0.47625651041666667
27,bearing_left+bearing_right,2,0.6286458333333332,0.5132812499999999,0.15833333333333333,0.05583333333333334,0.09744303385416665,0.46825764973958334
28,bearing_right+gearbox_right+output_shaft,3,0.6463541666666667,0.49453125,0.3416666666666666,0.07166666666666667,0.0745556640625,0.46574300130208335
29,bearing_right+gearbox_right+input_shaft,3,0.6177083333333334,0.478125,0.22916666666666666,0.06083333333333334,0.07419270833333334,0.4589453125
30,bearing_left+gearbox_right,2,0.6197916666666666,0.47968749999999993,0.23958333333333334,0.07083333333333335,0.07369140625,0.44127929687500006
31,bearing_right+input_shaft,2,0.5739583333333332,0.44609374999999996,0.12916666666666668,0.049166666666666664,0.081796875,0.4347265625
32,bearing_right+input_shaft+output_shaft,3,0.6958333333333333,0.575,0.35000000000000003,0.11916666666666668,0.065537109375,0.4247314453125
33,input_shaft+output_shaft,2,0.6166666666666666,0.46562499999999996,0.2520833333333333,0.07666666666666666,0.08384114583333334,0.42141276041666664
34,gearbox_right+output_shaft,2,0.5979166666666667,0.4234375,0.29791666666666666,0.07166666666666667,0.07954427083333333,0.4148111979166667
35,gearbox_right+input_shaft,2,0.5447916666666667,0.39765625,0.20000000000000004,0.0525,0.06467447916666667,0.4074544270833333
36,output_shaft,1,0.5041666666666667,0.3421875,0.1625,0.04666666666666667,0.09045572916666665,0.36560546874999994
37,bearing_left+input_shaft,2,0.5723958333333333,0.44375,0.125,0.08666666666666666,0.08539876302083334,0.3563631184895833
38,bearing_right,1,0.5291666666666667,0.3859375,0.10208333333333335,0.06666666666666667,0.09154622395833333,0.35006022135416665
39,bearing_left,1,0.5432291666666667,0.409375,0.11041666666666666,0.08333333333333333,0.08266438802083333,0.33523030598958337
40,gearbox_right,1,0.4052083333333334,0.26171875,0.11875000000000001,0.05000000000000001,0.06827473958333334,0.27107096354166665
41,input_shaft,1,0.38697916666666665,0.24921875,0.035416666666666666,0.10333333333333333,0.06089029947916667,0.14986735026041664
