rank,layout,sensor_count,mean_pd_source,low_snr_pd_source,mean_pd_all,mean_p_fa,mean_balance_variance,score
16,gearbox_left+gearbox_right+output_shaft,3,0.6930689102564104,0.5459134615384615,0.4442307692307692,0.05958333333333332,0.05503756972694773,0.5463834587262697
17,bearing_left+input_shaft+output_shaft,3,0.6590144230769232,0.5306490384615385,0.2705128205128205,0.03988095238095238,0.07804738543207594,0.5402288255989803
18,bearing_left+bearing_right+gearbox_right,3,0.6563701923076923,0.5271033653846154,0.2693910256410256,0.0430952380952381,0.07212673932137574,0.5341163464565283
19,bearing_right+gearbox_right+output_shaft,3,0.6599759615384616,0.5150841346153846,0.3418269230769231,0.04702380952380952,0.07138146996733236,0.5302376075071763
20,bearing_left+output_shaft,2,0.6444310897435898,0.5109375,0.2621794871794872,0.04154761904761905,0.0811646422737919,0.5207535305114557
21,gearbox_left+gearbox_right,2,0.6491185897435897,0.48798076923076916,0.39935897435897433,0.05363095238095239,0.04447999491494082,0.5196166875242145
22,bearing_right+input_shaft+output_shaft,3,0.6697115384615384,0.53671875,0.3096153846153846,0.05755952380952381,0.07054729875493097,0.5193188414650254
23,gearbox_right+input_shaft+output_shaft,3,0.6359374999999999,0.48611778846153847,0.3235576923076923,0.048690476190476194,0.06466243104351578,0.5062253320972897
24,bearing_left+gearbox_right+input_shaft,3,0.6321714743589744,0.5000600961538462,0.2405448717948718,0.04666666666666666,0.07074169632951183,0.5034672928608851
25,bearing_right+gearbox_right+input_shaft,3,0.6224759615384615,0.48004807692307694,0.25608974358974357,0.0475595238095238,0.06844891249075444,0.49313245767403674
26,gearbox_left,1,0.5959134615384616,0.4131610576923077,0.3445512820512821,0.047142857142857146,0.03772744082840236,0.482764026838546
27,bearing_left+gearbox_right,2,0.6172275641025641,0.48118990384615384,0.2246794871794872,0.05125,0.07218407143737673,0.4786355283838757
28,bearing_left+bearing_right+input_shaft,3,0.6139423076923077,0.48870192307692306,0.17916666666666667,0.048273809523809524,0.08015018259985206,0.47731959734476265
29,bearing_right+output_shaft,2,0.622275641025641,0.47650240384615383,0.257051282051282,0.05255952380952381,0.08297038723496054,0.4756713997891131
30,input_shaft+output_shaft,2,0.5911057692307692,0.4397836538461538,0.23253205128205132,0.04369047619047619,0.07629389715853056,0.4655778682705516
31,bearing_left+bearing_right,2,0.6044871794871794,0.4799278846153846,0.16089743589743588,0.05113095238095239,0.08197880069649902,0.4612358743770253
32,bearing_right+gearbox_right,2,0.6169070512820513,0.47049278846153847,0.25817307692307695,0.06726190476190476,0.06752877681213018,0.44861885335217666
33,bearing_left+input_shaft,2,0.5453926282051281,0.41057692307692306,0.10448717948717949,0.03446428571428572,0.08420408230091224,0.4343620156261007
34,gearbox_right+output_shaft,2,0.5698317307692308,0.40973557692307694,0.24775641025641026,0.0505952380952381,0.08223364113350592,0.42752443401200163
35,bearing_right+input_shaft,2,0.5520032051282051,0.40979567307692305,0.14150641025641025,0.04488095238095238,0.07301106770833332,0.4257357665121337
36,bearing_right,1,0.5197916666666665,0.3719350961538461,0.11810897435897434,0.045952380952380946,0.07921609190088758,0.3882788588114609
37,bearing_left,1,0.5411458333333333,0.40949519230769227,0.09070512820512822,0.05547619047619048,0.0851024042313856,0.3876422502652596
38,gearbox_right+input_shaft,2,0.5548878205128205,0.39993990384615385,0.21955128205128205,0.06988095238095238,0.057399261895956614,0.38642628480293745
39,output_shaft,1,0.5302083333333334,0.3732572115384616,0.1921474358974359,0.055476190476190484,0.09001666127342207,0.37424762174424137
40,gearbox_right,1,0.4176682692307692,0.2740384615384615,0.1326923076923077,0.051190476190476196,0.06989915595722386,0.28033773887120494
41,input_shaft,1,0.36782852564102564,0.21724759615384615,0.04791666666666666,0.0469047619047619,0.05523975861378205,0.2463991225246108
