amplitude_case,separation_hz,replicate,sample_count,amplitude_1,amplitude_2,component_1_snr_db,component_2_snr_db,main_estimated_k,main_max_frequency_error_hz,main_success,main_bic_improvement,main_candidate_origin,main_residual_peak_ratio,main_local_grid_step_hz,condition_design,condition_normal,smallest_singular_value,numerical_rank,column_count,ill_conditioned,music_estimated_k,music_max_frequency_error_hz,music_success,music_grid_step_hz,main_runtime_seconds,music_runtime_seconds,main_frequency_1_hz,main_frequency_2_hz,music_frequency_1_hz,music_frequency_2_hz
unequal,0.00025,23,40001,0.01048,0.04005,-22.59263282585011,-10.947808070399141,1,nan,False,3212.1226399233565,peel_residual_rescan,3.5616142996453495,2.5e-05,1.009614548034231,1.0193215356023644,0.9952043356099812,5,5,False,1,nan,False,2.5e-05,0.12770059995818883,0.03666660003364086,13.51040371409903,nan,13.500075,nan
unequal,0.00025,24,40001,0.01048,0.04005,-22.59263282585011,-10.947808070399141,1,nan,False,3192.542276643624,adaptive_split_0.25_over_T,2.087863366574093,2.5e-05,1.1358131459706975,1.290071502559853,0.9345240277919937,5,5,False,1,nan,False,2.5e-05,0.12497080001048744,0.032477599976118654,13.501524961926203,nan,13.5001,nan
unequal,0.00025,25,40001,0.01048,0.04005,-22.59263282585011,-10.947808070399141,1,nan,False,1134.4882042958925,adaptive_split_1.00_over_T,5.797519949010509,2.5e-05,1.0864254579850954,1.1803202757581241,0.957755933216104,5,5,False,1,nan,False,2.5e-05,0.10904510004911572,0.031204600003547966,13.501799955051375,nan,13.500025,nan
unequal,0.00025,26,40001,0.01048,0.04005,-22.59263282585011,-10.947808070399141,1,nan,False,4794.2486089687445,fine_grid_secondary_peak,8.14559434324799,2.5e-05,1.098735595911514,1.2072199097230296,0.9519019036955279,5,5,False,1,nan,False,2.5e-05,0.1155741999973543,0.03638090001186356,13.511496842206466,nan,13.500075,nan
unequal,0.00025,27,40001,0.01048,0.04005,-22.59263282585011,-10.947808070399141,1,nan,False,1929.1944207485067,adaptive_split_0.40_over_T,4.6351244241827825,2.5e-05,1.0623295009571587,1.1285439686038858,0.9693345330763086,5,5,False,1,nan,False,2.5e-05,0.09247369994409382,0.031070100027136505,13.498525036823828,nan,13.500125,nan
unequal,0.00025,28,40001,0.01048,0.04005,-22.59263282585011,-10.947808070399141,1,nan,False,59.944276139867725,fine_grid_secondary_peak,2.7212133382612596,2.5e-05,1.0680794239063212,1.1407936557720588,0.9665572734737072,5,5,False,1,nan,False,2.5e-05,0.10180020000552759,0.03460569999879226,13.493467317969728,nan,13.500025,nan
unequal,0.00025,29,40001,0.01048,0.04005,-22.59263282585011,-10.947808070399141,1,nan,False,1081.2787280800985,fine_grid_secondary_peak,4.982606602772922,2.5e-05,1.0071071935105915,1.0142648992207801,0.9964532500024553,5,5,False,1,nan,False,2.5e-05,0.11383950000163168,0.03152830002363771,13.501549961301217,nan,13.5002,nan
unequal,0.00025,30,40001,0.01048,0.04005,-22.59263282585011,-10.947808070399141,1,nan,False,1587.2001966266544,adaptive_split_0.10_over_T,5.935836918436755,2.5e-05,1.0389853088916747,1.0794904720927287,0.9807008250762409,5,5,False,1,nan,False,2.5e-05,0.10855459998128936,0.02974480000557378,13.501474963176172,nan,13.50015,nan
unequal,0.00025,31,40001,0.01048,0.04005,-22.59263282585011,-10.947808070399141,1,nan,False,1346.3604209063633,peel_residual_rescan,4.89640484142299,2.5e-05,1.2057384178895438,1.4538051323747803,0.9028070931748756,5,5,False,1,nan,False,2.5e-05,0.11100209999131039,0.02920679998351261,13.501449963801155,nan,13.50015,nan
unequal,0.00025,32,40001,0.01048,0.04005,-22.59263282585011,-10.947808070399141,1,nan,False,2292.1489523096825,fine_grid_secondary_peak,6.4935997810648125,2.5e-05,1.1161116251262118,1.2457051597418733,0.9437101512680667,5,5,False,1,nan,False,2.5e-05,0.10613329999614507,0.028390899999067187,13.494590707315314,nan,13.5001,nan
