amplitude_case,separation_hz,replicate,sample_count,amplitude_1,amplitude_2,component_1_snr_db,component_2_snr_db,main_estimated_k,main_max_frequency_error_hz,main_success,main_bic_improvement,main_candidate_origin,main_residual_peak_ratio,main_conditional_glrt_statistic,main_conditional_glrt_threshold,main_frequency_ci_reliable,main_frequency_1_se_hz,main_frequency_2_se_hz,main_local_grid_step_hz,condition_design,condition_normal,smallest_singular_value,numerical_rank,column_count,ill_conditioned,music_estimated_k,music_max_frequency_error_hz,music_success,music_grid_step_hz,main_runtime_seconds,music_runtime_seconds,main_frequency_1_hz,main_frequency_2_hz,music_frequency_1_hz,music_frequency_2_hz
equal,0.00025,10,40001,0.02,0.02,-16.979258565524646,-16.979258565524646,1,nan,False,-1918.08190277635,peel_residual_rescan,7.732668712624995,0.0,5.291862556499362,False,nan,nan,2.5e-05,1.0219982331145903,1.0444803884893443,0.9890618787438653,5,5,False,1,nan,False,2.5e-05,0.27500329999020323,0.015061699959915131,13.497532703582126,nan,13.49995,nan
equal,0.00025,11,40001,0.02,0.02,-16.979258565524646,-16.979258565524646,1,nan,False,-21.887899571302114,adaptive_split_1.00_over_T,3.9005760198910906,3.3005241007332873,5.291862556499362,False,nan,nan,2.5e-05,1.066723926172962,1.1378999346698588,0.9672111958783749,5,5,False,1,nan,False,2.5e-05,0.2383082999731414,0.0161346000386402,13.498525036823828,nan,13.500774999999999,nan
equal,0.00025,12,40001,0.02,0.02,-16.979258565524646,-16.979258565524646,1,nan,False,-26.4666528601374,peel_residual_rescan,12.713327701686138,1.7742496489361281,5.291862556499362,False,nan,nan,2.5e-05,1.0319112144189477,1.0648407544435876,0.9841736130190664,5,5,False,1,nan,False,2.5e-05,0.24990799999795854,0.015919300029054284,13.48897749642307,nan,13.4999,nan
equal,0.00025,13,40001,0.02,0.02,-16.979258565524646,-16.979258565524646,1,nan,False,-18.093651932664216,fine_grid_secondary_peak,10.304392547875251,4.565425044747798,5.291862556499362,False,nan,nan,2.5e-05,1.0564183209381885,1.1160196688138615,0.9721989500576234,5,5,False,1,nan,False,2.5e-05,0.26648529997328296,0.0190623999806121,13.501749956301342,nan,13.500399999999999,nan
equal,0.00025,14,40001,0.02,0.02,-16.979258565524646,-16.979258565524646,1,nan,False,-2561.086123308167,peel_residual_rescan,5.584918249294915,0.0,5.291862556499362,False,nan,nan,2.5e-05,1.0297100557808883,1.06030279897628,0.9852567720502934,5,5,False,1,nan,False,2.5e-05,0.24603019998176023,0.016288199985865504,13.510523326613432,nan,13.50005,nan
equal,0.00025,15,40001,0.02,0.02,-16.979258565524646,-16.979258565524646,1,nan,False,-28.09869669683394,peel_residual_rescan,4.083186407560701,1.2302689446532975,5.291862556499362,False,nan,nan,2.5e-05,1.1796435478921654,1.3915589000836155,0.9144805224903623,5,5,False,1,nan,False,2.5e-05,0.2778004000429064,0.016263999976217747,13.498500037448814,nan,13.499925,nan
equal,0.00025,16,40001,0.02,0.02,-16.979258565524646,-16.979258565524646,1,nan,False,-580.5725247075316,fine_grid_secondary_peak,6.929835129764586,0.0,5.291862556499362,False,nan,nan,2.5e-05,1.0368488771964168,1.0750555941434703,0.9817482357604755,5,5,False,1,nan,False,2.5e-05,0.2683334000175819,0.016475000011269003,13.510100650592882,nan,13.50005,nan
equal,0.00025,17,40001,0.02,0.02,-16.979258565524646,-16.979258565524646,1,nan,False,-27.09765264671296,peel_residual_rescan,4.704662338307775,1.563926864944433,5.291862556499362,False,nan,nan,2.5e-05,1.0959119186356523,1.2010229334076765,0.9532410008948005,5,5,False,1,nan,False,2.5e-05,0.22866970003815368,0.014802799967583269,13.501724956926328,nan,13.50005,nan
equal,0.00025,18,40001,0.02,0.02,-16.979258565524646,-16.979258565524646,1,nan,False,-27.92719034521724,adaptive_split_0.65_over_T,6.664916960495363,1.2874331216357717,5.291862556499362,False,nan,nan,2.5e-05,1.0228677357989326,1.0462584049384351,0.9886320925960539,5,5,False,1,nan,False,2.5e-05,0.28306690003955737,0.019889299990609288,13.498525036823828,nan,13.4992,nan
equal,0.00025,19,40001,0.02,0.02,-16.979258565524646,-16.979258565524646,1,nan,False,-29.928023578802822,peel_residual_rescan,6.694149885015481,0.620557704488456,5.291862556499362,False,nan,nan,2.5e-05,1.2211617201651006,1.4912359467965874,0.8959990952996467,5,5,False,1,nan,False,2.5e-05,0.30872339999768883,0.02018970000790432,13.501674958176295,nan,13.5001,nan
