layout,sensor_count,snr_db,runs,pd_any,pd_all,pd_source_mean,pd_source_min,pd_source_variance,false_alarm_runs,p_fa,score
bearing_left+gearbox_right,2,-12.0,1040,1.0,0.16346153846153846,0.7879807692307692,0.16442307692307692,0.12962023853550297,2800,0.06,0.6031706499630177
bearing_left+gearbox_right,2,-10.0,1040,1.0,0.32884615384615384,0.8322115384615385,0.32884615384615384,0.08445890347633138,2800,0.0425,0.7049820867233728
bearing_left+gearbox_right,2,-5.0,1040,1.0,0.7855769230769231,0.9463942307692308,0.7855769230769231,0.008620735484467457,2800,0.04392857142857143,0.8542267201698542
bearing_left+gearbox_right+input_shaft,3,-25.0,1040,0.38076923076923075,0.0,0.11177884615384615,0.016346153846153847,0.007400783561390532,2800,0.045714285714285714,0.01664988294457945
bearing_left+gearbox_right+input_shaft,3,-20.0,1040,0.8625,0.0009615384615384616,0.36514423076923075,0.025,0.06140318740754438,2800,0.05714285714285714,0.2201569227797443
bearing_left+gearbox_right+input_shaft,3,-15.0,1040,0.9990384615384615,0.07115384615384615,0.7240384615384615,0.08076923076923077,0.13969720784023668,2800,0.040357142857142855,0.5734755719040574
bearing_left+gearbox_right+input_shaft,3,-12.0,1040,1.0,0.2,0.7992788461538461,0.2,0.11971309865014791,2800,0.048214285714285716,0.6429937254002007
bearing_left+gearbox_right+input_shaft,3,-10.0,1040,1.0,0.29423076923076924,0.8235576923076923,0.29423076923076924,0.09339566383136096,2800,0.04321428571428571,0.6904312889634404
bearing_left+gearbox_right+input_shaft,3,-5.0,1040,1.0,0.8769230769230769,0.9692307692307692,0.8769230769230769,0.0028402366863905333,2800,0.04535714285714286,0.8770963651732883
bearing_left+gearbox_right+output_shaft,3,-25.0,1040,0.6682692307692307,0.0,0.19086538461538463,0.020192307692307693,0.060130593565088764,2800,0.046785714285714285,0.06722865926141168
bearing_left+gearbox_right+output_shaft,3,-20.0,1040,0.9971153846153846,0.0,0.3913461538461539,0.022115384615384617,0.1336298076923077,2800,0.041428571428571426,0.2416741071428572
bearing_left+gearbox_right+output_shaft,3,-15.0,1040,1.0,0.13653846153846153,0.7406250000000001,0.175,0.10890087601701182,2800,0.03357142857142857,0.619031704848637
