case_name,replicate,sample_count,true_k,expected_k,estimated_k,success,frequency_mae_hz,noise_kind,theoretical_identifiable,condition_design,ill_conditioned,runtime_seconds,true_frequencies_hz,estimated_frequencies_hz
very_low_snr_-25,95,40001,4,4,1,False,10.00012746967725,gaussian,True,1.0000467291202009,False,0.45161840000218945,3.99999818;7.99992873;13.0000886;14.0000242,14.0001257
very_low_snr_-25,96,40001,4,4,1,False,10.000077499264357,gaussian,True,1.0000423297357506,False,0.4916719999964698,3.99999818;7.99992873;13.0000886;14.0000242,14.0000757
very_low_snr_-25,97,40001,4,4,2,False,3.000343786962885,gaussian,True,1.0001357099403638,False,0.47607150000112597,3.99999818;7.99992873;13.0000886;14.0000242,3.99961648;14.0002346
very_low_snr_-25,98,40001,4,4,1,False,10.000035253545713,gaussian,True,1.0000384795377155,False,0.16380029999709222,3.99999818;7.99992873;13.0000886;14.0000242,14.0000334
very_low_snr_-25,99,40001,4,4,2,False,5.000137065290023,gaussian,True,1.000127940496831,False,0.44381179999618325,3.99999818;7.99992873;13.0000886;14.0000242,7.99991735;14.0002837
very_low_snr_-30,0,40001,4,4,1,False,10.000252212897413,gaussian,True,1.000056871596162,False,0.19349370000418276,3.99999818;7.99992873;13.0000886;14.0000242,14.0002504
very_low_snr_-30,1,40001,4,4,0,False,nan,gaussian,True,1.0,False,0.19068649999826448,3.99999818;7.99992873;13.0000886;14.0000242,
very_low_snr_-30,2,40001,4,4,0,False,nan,gaussian,True,1.0,False,0.009183199996186886,3.99999818;7.99992873;13.0000886;14.0000242,
very_low_snr_-30,3,40001,4,4,0,False,nan,gaussian,True,1.0,False,0.2007104000003892,3.99999818;7.99992873;13.0000886;14.0000242,
very_low_snr_-30,4,40001,4,4,0,False,nan,gaussian,True,1.0,False,0.006745200000295881,3.99999818;7.99992873;13.0000886;14.0000242,
very_low_snr_-30,5,40001,4,4,0,False,nan,gaussian,True,1.0,False,0.008540799994079862,3.99999818;7.99992873;13.0000886;14.0000242,
very_low_snr_-30,6,40001,4,4,0,False,nan,gaussian,True,1.0,False,0.00886480000190204,3.99999818;7.99992873;13.0000886;14.0000242,
very_low_snr_-30,7,40001,4,4,0,False,nan,gaussian,True,1.0,False,0.007472200006304774,3.99999818;7.99992873;13.0000886;14.0000242,
very_low_snr_-30,8,40001,4,4,0,False,nan,gaussian,True,1.0,False,0.009223499997460749,3.99999818;7.99992873;13.0000886;14.0000242,
very_low_snr_-30,9,40001,4,4,1,False,10.000185720141035,gaussian,True,1.0000516237732304,False,0.19249839999974938,3.99999818;7.99992873;13.0000886;14.0000242,14.0001839
very_low_snr_-30,10,40001,4,4,0,False,nan,gaussian,True,1.0,False,0.007086400000844151,3.99999818;7.99992873;13.0000886;14.0000242,
very_low_snr_-30,11,40001,4,4,0,False,nan,gaussian,True,1.0,False,0.009337499999674037,3.99999818;7.99992873;13.0000886;14.0000242,
very_low_snr_-30,12,40001,4,4,1,False,9.999807192210755,gaussian,True,1.0000161096142846,False,0.16656430000148248,3.99999818;7.99992873;13.0000886;14.0000242,13.9998054
very_low_snr_-30,13,40001,4,4,1,False,10.000393141681668,gaussian,True,1.0000666405648238,False,0.19400889999815263,3.99999818;7.99992873;13.0000886;14.0000242,14.0003913
very_low_snr_-30,14,40001,4,4,0,False,nan,gaussian,True,1.0,False,0.006582699999853503,3.99999818;7.99992873;13.0000886;14.0000242,
very_low_snr_-30,15,40001,4,4,0,False,nan,gaussian,True,1.0,False,0.006806299999880139,3.99999818;7.99992873;13.0000886;14.0000242,
very_low_snr_-30,16,40001,4,4,0,False,nan,gaussian,True,1.0,False,0.008172199995897245,3.99999818;7.99992873;13.0000886;14.0000242,
very_low_snr_-30,17,40001,4,4,0,False,nan,gaussian,True,1.0,False,0.007087899997713976,3.99999818;7.99992873;13.0000886;14.0000242,
very_low_snr_-30,18,40001,4,4,1,False,9.999822319242254,gaussian,True,1.0000176550901394,False,0.1901759000029415,3.99999818;7.99992873;13.0000886;14.0000242,13.9998205
very_low_snr_-30,19,40001,4,4,0,False,nan,gaussian,True,1.0,False,0.006451900000683963,3.99999818;7.99992873;13.0000886;14.0000242,
very_low_snr_-30,20,40001,4,4,0,False,nan,gaussian,True,1.0,False,0.007436899999447633,3.99999818;7.99992873;13.0000886;14.0000242,
very_low_snr_-30,21,40001,4,4,0,False,nan,gaussian,True,1.0,False,0.18755689999670722,3.99999818;7.99992873;13.0000886;14.0000242,
very_low_snr_-30,22,40001,4,4,0,False,nan,gaussian,True,1.0,False,0.17546559999755118,3.99999818;7.99992873;13.0000886;14.0000242,
very_low_snr_-30,23,40001,4,4,0,False,nan,gaussian,True,1.0,False,0.008196700000553392,3.99999818;7.99992873;13.0000886;14.0000242,
very_low_snr_-30,24,40001,4,4,0,False,nan,gaussian,True,1.0,False,0.006627999995544087,3.99999818;7.99992873;13.0000886;14.0000242,
very_low_snr_-30,25,40001,4,4,0,False,nan,gaussian,True,1.0,False,0.007997199994861148,3.99999818;7.99992873;13.0000886;14.0000242,
very_low_snr_-30,26,40001,4,4,0,False,nan,gaussian,True,1.0,False,0.006984699997701682,3.99999818;7.99992873;13.0000886;14.0000242,
very_low_snr_-30,27,40001,4,4,0,False,nan,gaussian,True,1.0,False,0.17326540000067325,3.99999818;7.99992873;13.0000886;14.0000242,
very_low_snr_-30,28,40001,4,4,1,False,10.000085724670933,gaussian,True,1.0000430658438604,False,0.17206509999959962,3.99999818;7.99992873;13.0000886;14.0000242,14.0000839
very_low_snr_-30,29,40001,4,4,0,False,nan,gaussian,True,1.0,False,0.007821999999578111,3.99999818;7.99992873;13.0000886;14.0000242,
very_low_snr_-30,30,40001,4,4,0,False,nan,gaussian,True,1.0,False,0.009404199998243712,3.99999818;7.99992873;13.0000886;14.0000242,
very_low_snr_-30,31,40001,4,4,0,False,nan,gaussian,True,1.0,False,0.17658959999971557,3.99999818;7.99992873;13.0000886;14.0000242,
very_low_snr_-30,32,40001,4,4,0,False,nan,gaussian,True,1.0,False,0.006864599999971688,3.99999818;7.99992873;13.0000886;14.0000242,
very_low_snr_-30,33,40001,4,4,0,False,nan,gaussian,True,1.0,False,0.0069701999964308925,3.99999818;7.99992873;13.0000886;14.0000242,
very_low_snr_-30,34,40001,4,4,1,False,9.99963243835577,gaussian,True,1.0000020227268926,False,0.1597600000022794,3.99999818;7.99992873;13.0000886;14.0000242,13.9996306
very_low_snr_-30,35,40001,4,4,0,False,nan,gaussian,True,1.0,False,0.007061199998133816,3.99999818;7.99992873;13.0000886;14.0000242,
very_low_snr_-30,36,40001,4,4,0,False,nan,gaussian,True,1.0,False,0.1639173999938066,3.99999818;7.99992873;13.0000886;14.0000242,
very_low_snr_-30,37,40001,4,4,0,False,nan,gaussian,True,1.0,False,0.008849499994539656,3.99999818;7.99992873;13.0000886;14.0000242,
very_low_snr_-30,38,40001,4,4,1,False,10.000116822675531,gaussian,True,1.0000458066271138,False,0.17933199999970384,3.99999818;7.99992873;13.0000886;14.0000242,14.000115
very_low_snr_-30,39,40001,4,4,0,False,nan,gaussian,True,1.0,False,0.007550500005891081,3.99999818;7.99992873;13.0000886;14.0000242,
very_low_snr_-30,40,40001,4,4,0,False,nan,gaussian,True,1.0,False,0.008446399995591491,3.99999818;7.99992873;13.0000886;14.0000242,
very_low_snr_-30,41,40001,4,4,0,False,nan,gaussian,True,1.0,False,0.006850899997516535,3.99999818;7.99992873;13.0000886;14.0000242,
very_low_snr_-30,42,40001,4,4,1,False,10.000188750214518,gaussian,True,1.0000518710378228,False,0.1955385000037495,3.99999818;7.99992873;13.0000886;14.0000242,14.0001869
very_low_snr_-30,43,40001,4,4,0,False,nan,gaussian,True,1.0,False,0.0064542999971308745,3.99999818;7.99992873;13.0000886;14.0000242,
very_low_snr_-30,44,40001,4,4,0,False,nan,gaussian,True,1.0,False,0.0076532999955816194,3.99999818;7.99992873;13.0000886;14.0000242,
