profile,job_name,rank,layout,sensor_count,mean_pd_source,low_snr_pd_source,mean_pd_all,mean_p_fa,mean_balance_variance,score
pc1,strict_false_alarm_seed20260623,2,bearing_left+gearbox_left+gearbox_right,3,0.6687500000000001,0.5086647727272727,0.4537878787878788,0.012037037037037039,0.04061168323863636,0.6243700843066077
pc1,strict_false_alarm_seed20260623,3,bearing_left+bearing_right+gearbox_left,3,0.6581439393939393,0.4983664772727272,0.41609848484848483,0.007500000000000001,0.039076085786845724,0.6236058965005165
pc1,strict_false_alarm_seed20260623,4,bearing_right+gearbox_left+output_shaft,3,0.6723011363636363,0.5134943181818181,0.4384469696969697,0.015648148148148147,0.0504902854898416,0.6157596973224193
pc1,strict_false_alarm_seed20260623,5,bearing_right+gearbox_left+input_shaft,3,0.6441761363636364,0.4771306818181818,0.4126893939393939,0.008703703703703705,0.03214489981491047,0.6106962790487737
pc1,strict_false_alarm_seed20260623,6,bearing_left+gearbox_left+input_shaft,3,0.6510416666666666,0.48856534090909093,0.41306818181818183,0.011666666666666667,0.03414100163567493,0.6106378325154959
pc1,strict_false_alarm_seed20260623,7,gearbox_left+input_shaft+output_shaft,3,0.6524147727272728,0.48728693181818183,0.42083333333333334,0.013425925925925926,0.04186565136449724,0.6046300951931722
pc1,strict_false_alarm_seed20260623,8,bearing_right+gearbox_left+gearbox_right,3,0.6507575757575758,0.4828125,0.41382575757575757,0.011527777777777777,0.047801712078168045,0.6038011641629362
pc1,strict_false_alarm_seed20260623,9,bearing_left+gearbox_left,2,0.6336647727272727,0.46115056818181815,0.42159090909090907,0.009537037037037037,0.03078322733729338,0.599199084984552
pc1,strict_false_alarm_seed20260623,10,gearbox_left+gearbox_right+input_shaft,3,0.631060606060606,0.4581676136363636,0.4119318181818182,0.010416666666666666,0.035872584151170804,0.5922909806516873
pc2,baseline_repeat_seed20260620,1,bearing_left+gearbox_left+output_shaft,3,0.7288060897435896,0.5966346153846154,0.5067307692307692,0.04041666666666666,0.040575199164817555,0.6276851568278475
pc2,baseline_repeat_seed20260620,2,bearing_left+bearing_right+gearbox_left,3,0.7190705128205129,0.5829927884615385,0.4798076923076923,0.039880952380952385,0.0357986432137574,0.6214092864517293
pc2,baseline_repeat_seed20260620,3,bearing_left+gearbox_left+gearbox_right,3,0.7226762820512821,0.5875,0.5096153846153846,0.048749999999999995,0.03690477841469428,0.6067238928439349
pc2,baseline_repeat_seed20260620,4,bearing_left+gearbox_left,2,0.6842548076923077,0.5341346153846154,0.47211538461538466,0.03166666666666666,0.029309943987302762,0.606266502365323
pc2,baseline_repeat_seed20260620,5,bearing_right+gearbox_left+output_shaft,3,0.711378205128205,0.5691105769230769,0.47660256410256413,0.04636904761904762,0.04804440951676529,0.5946179051317273
pc2,baseline_repeat_seed20260620,6,bearing_left+gearbox_left+input_shaft,3,0.7046875,0.5631610576923077,0.4724358974358975,0.04755952380952381,0.031903054502588755,0.593616925129658
pc2,baseline_repeat_seed20260620,7,bearing_right+gearbox_left+input_shaft,3,0.6957131410256411,0.548016826923077,0.47179487179487184,0.051785714285714296,0.030556785086908286,0.5768633199107583
pc2,baseline_repeat_seed20260620,8,gearbox_left+input_shaft+output_shaft,3,0.7070913461538462,0.5640024038461537,0.48365384615384616,0.056130952380952386,0.0413025745038215,0.5741781541400307
pc2,baseline_repeat_seed20260620,9,bearing_right+gearbox_left,2,0.681650641025641,0.5280649038461538,0.4615384615384615,0.04738095238095238,0.03135819233851085,0.5712096400944807
pc2,baseline_repeat_seed20260620,10,bearing_right+gearbox_left+gearbox_right,3,0.7070512820512821,0.5629807692307692,0.4842948717948718,0.06053571428571428,0.04171618820882642,0.5651217593754403
pc2,long_window_seed20260622,1,bearing_left+bearing_right+gearbox_left,3,0.8354166666666667,0.753125,0.6516203703703703,0.05423611111111112,0.0277195859053498,0.7130846514917696
pc2,long_window_seed20260622,2,bearing_right+gearbox_left+output_shaft,3,0.8223379629629629,0.7335069444444444,0.6449074074074074,0.05104166666666667,0.042280293531378604,0.6991144828639403
pc2,long_window_seed20260622,3,bearing_left+gearbox_left+output_shaft,3,0.8266782407407408,0.7400173611111112,0.6523148148148148,0.05604166666666666,0.03421113442001029,0.6974893401974023
pc2,long_window_seed20260622,4,bearing_left+gearbox_left+gearbox_right,3,0.8241319444444445,0.7361979166666667,0.6543981481481481,0.05979166666666667,0.031741998617541144,0.6886776118023406
pc2,long_window_seed20260622,5,bearing_left+gearbox_left,2,0.8039930555555556,0.7061631944444444,0.6358796296296296,0.052708333333333336,0.021538045749742798,0.6878073660140175
pc2,long_window_seed20260622,6,bearing_right+gearbox_left+input_shaft,3,0.8157407407407407,0.7236111111111111,0.6435185185185185,0.059444444444444446,0.02611951035236626,0.6837920966756688
pc2,long_window_seed20260622,7,bearing_left+gearbox_left+input_shaft,3,0.8185763888888888,0.7278645833333333,0.6388888888888888,0.06201388888888889,0.024295448334619347,0.6824008869438014
pc2,long_window_seed20260622,8,bearing_right+gearbox_left+gearbox_right,3,0.814988425925926,0.722482638888889,0.6407407407407407,0.057013888888888885,0.038666911811985595,0.6816271922421553
pc2,long_window_seed20260622,9,bearing_right+gearbox_left,2,0.8013888888888889,0.7020833333333333,0.6296296296296297,0.05604166666666666,0.028490547839506174,0.6750602816358025
pc2,long_window_seed20260622,10,bearing_left+bearing_right+output_shaft,3,0.7925347222222223,0.6970486111111112,0.4666666666666666,0.04763888888888889,0.062447454507458845,0.6660332171907151
pc2,score_sensitivity_seed20260624,1,bearing_left+bearing_right+gearbox_left,3,0.7199810606060607,0.5845170454545454,0.4892045454545455,0.039523809523809524,0.03386705298725895,0.5410072636880165
pc2,score_sensitivity_seed20260624,2,bearing_left+gearbox_left+gearbox_right,3,0.7069602272727273,0.5646306818181819,0.49829545454545454,0.03517857142857143,0.03743453264893251,0.5389137880940083
pc2,score_sensitivity_seed20260624,3,bearing_left+gearbox_left+output_shaft,3,0.7233901515151514,0.5875,0.5102272727272728,0.03916666666666666,0.042051184788223145,0.5358453964359504
pc2,score_sensitivity_seed20260624,4,bearing_left+gearbox_left+input_shaft,3,0.7038825757575758,0.5610085227272728,0.48087121212121214,0.04297619047619047,0.03004829007403581,0.5174079610020661
pc2,score_sensitivity_seed20260624,5,bearing_right+gearbox_left+output_shaft,3,0.7178030303030303,0.579403409090909,0.4888257575757575,0.046607142857142854,0.04719199272555096,0.49804763903236915
pc2,score_sensitivity_seed20260624,6,bearing_right+gearbox_left+gearbox_right,3,0.7055397727272728,0.5622869318181818,0.47821969696969696,0.04630952380952381,0.04229388612689394,0.49270377604166665
pc2,score_sensitivity_seed20260624,7,bearing_right+gearbox_left+input_shaft,3,0.7072916666666668,0.565625,0.48143939393939394,0.05303571428571429,0.030637617295110192,0.4849015259125345
pc2,score_sensitivity_seed20260624,8,gearbox_left+input_shaft+output_shaft,3,0.7007102272727274,0.5546164772727273,0.4833333333333334,0.048630952380952386,0.040832728025998626,0.4815026203081956
pc2,score_sensitivity_seed20260624,9,bearing_right+gearbox_left,2,0.6874526515151516,0.5357954545454545,0.459469696969697,0.04857142857142858,0.03398040687413912,0.4766761632661846
pc2,score_sensitivity_seed20260624,10,bearing_left+gearbox_left,2,0.7035037878787879,0.5586647727272728,0.4948863636363636,0.05654761904761904,0.029517879433539947,0.4701656658918733
