snr_weak_db,amplitude_ratio_weak_to_strong,amplitude_ratio_value,separation_hz,replicate,center_hz,true_frequency_1_hz,true_frequency_2_hz,weak_amplitude,strong_amplitude,noise_std,phase_1_rad,phase_2_rad,phase_difference_abs_rad,phase_bin,detector,estimated_k,success,max_frequency_error_hz,tolerance_hz,estimated_frequencies_hz,bic_improvement,candidate_origin,conditional_glrt_statistic,conditional_glrt_threshold,condition_design,ill_conditioned,runtime_seconds,signal_generation_runtime_seconds,detector_runtime_seconds,trial_total_runtime_seconds,fit_backend
-12.0,1:3,3,0.003,5,5.0,4.9985,5.0015,0.01,0.03,0.028150427993736734,2.1123582570671164,-0.32879429578697916,2.4411525528540956,6,complete,2,True,5.416169050143083e-06,0.00075,4.99849830553;5.00150541617,2318.4886171284597,local_close_pair_resolver,nan,nan,1.172118885650514,False,1.3980977999963216,0.00252869999530958,1.3980977999963216,1.4011858999947435,cached
-12.0,1:3,3,0.003,6,5.0,4.9985,5.0015,0.01,0.03,0.028150427993736734,2.229924920457713,0.2735634651502292,1.956361455307484,4,complete,2,True,9.753828149605681e-06,0.00075,4.99850975383;5.00150792243,2281.5776531176525,local_close_pair_resolver,nan,nan,1.169794922537409,False,1.4045277999975951,0.0014060000030440278,1.4045277999975951,1.4059927000052994,cached
-12.0,1:3,3,0.003,7,5.0,4.9985,5.0015,0.01,0.03,0.028150427993736734,-1.3795374151075732,0.39064398884879514,1.7701814039563684,4,complete,2,True,3.310224334107659e-05,0.00075,4.99846689776;5.00147802467,2201.1390106620383,local_close_pair_resolver,nan,nan,1.1731470004277236,False,1.4091058000049088,0.0015268999995896593,1.4091058000049088,1.4107159999985015,cached
-12.0,1:3,3,0.004,0,5.0,4.998,5.002,0.01,0.03,0.028150427993736734,2.48377363454477,-3.0332279081807996,0.7661837644540166,1,complete,2,True,1.2090107241569115e-05,0.001,4.99801209011;5.0019887129,2189.408819589822,local_close_pair_resolver,nan,nan,1.2146831894257062,False,1.3905831000010949,0.0014041000031284057,1.3905831000010949,1.3920652000015252,cached
-12.0,1:3,3,0.004,1,5.0,4.998,5.002,0.01,0.03,0.028150427993736734,1.7072374857684345,-0.23286705687604758,1.940104542644482,4,complete,2,True,1.3831391707519458e-05,0.001,4.99801383139;5.0019912821,2227.7934571379446,local_close_pair_resolver,nan,nan,1.2145594243040796,False,1.3873537999970722,0.0017470000020693988,1.3873537999970722,1.389179800004058,cached
-12.0,1:3,3,0.004,2,5.0,4.998,5.002,0.01,0.03,0.028150427993736734,-2.644311510192318,-1.3748928205616888,1.269418689630629,3,complete,2,True,6.190449364673611e-05,0.001,4.99806190449;5.00201003427,2191.1271446658648,local_close_pair_resolver,nan,nan,1.2188511436566933,False,1.352849700000661,0.0015148999955272302,1.352849700000661,1.3544376999998349,cached
-12.0,1:3,3,0.004,3,5.0,4.998,5.002,0.01,0.03,0.028150427993736734,-1.1461659151627759,0.036201161797378756,1.1823670769601546,3,complete,2,True,2.2639855965955746e-05,0.001,4.99802263986;5.00200522657,2154.642813237966,local_close_pair_resolver,nan,nan,1.2137868146905773,False,1.3972364000001107,0.0015550000025541522,1.3972364000001107,1.3989321000044583,cached
-12.0,1:3,3,0.004,4,5.0,4.998,5.002,0.01,0.03,0.028150427993736734,-0.7357543347635689,-1.3980520388546205,0.6622977040910517,1,complete,2,True,3.274580676837502e-06,0.001,4.9979971516;5.00200327458,2318.5590994759696,local_close_pair_resolver,nan,nan,1.2101366236113347,False,1.382852599999751,0.0015618999968864955,1.382852599999751,1.3844728999974905,cached
-12.0,1:3,3,0.004,5,5.0,4.998,5.002,0.01,0.03,0.028150427993736734,0.4711673599555666,2.5531808915763428,2.082013531620776,5,complete,2,True,1.215943502952399e-05,0.001,4.99799651432;5.00201215944,2283.5109967787284,local_close_pair_resolver,nan,nan,1.2086200821350863,False,1.3844076000023051,0.0031005000055301934,1.3844076000023051,1.387603000002855,cached
-12.0,1:3,3,0.004,6,5.0,4.998,5.002,0.01,0.03,0.028150427993736734,1.9699799235076174,-2.736271844341936,1.5769335393300337,4,complete,2,True,4.628558855745979e-05,0.001,4.99795371441;5.00198844576,2310.1439358181087,local_close_pair_resolver,nan,nan,1.2054987754982398,False,1.393154700002924,0.0016640999965602532,1.393154700002924,1.3948915000000852,cached
