weak_to_nearest_strong_distance_hz,replicate,sample_count,true_k,estimated_k,weak_detected,strong_components_detected,correct_order,over_estimated,weak_frequency_error_hz,strong_frequency_mae_hz,strong_amplitudes,estimated_frequencies_hz,accepted_iterations,condition_design,ill_conditioned,runtime_seconds
0.5,67,40001,4,3,False,True,False,False,0.49996928132438256,1.4737290221944477e-05,0.044990297;0.0332444994;0.0308860744,3.49996928;10.500013;13.9999995,3,1.0000924930625144,False,1.6633638000021165
0.5,68,40001,4,4,True,True,True,False,0.0001061954804120191,1.9791730337873997e-05,0.0393669751;0.0432500665;0.0422503136,2.9998938;3.49998929;10.499979;14.0000277,4,1.0002529927887525,False,1.7272496999976283
0.5,69,40001,4,3,False,True,False,False,0.4999996764549204,1.5145853712243232e-05,0.0371132553;0.0442358273;0.036952745,3.49999968;10.5000246;13.9999795,3,1.000090796971847,False,1.6453422000013234
0.5,70,40001,4,4,True,True,True,False,0.00011459648787415233,4.515781518972991e-05,0.0318735275;0.0381349166;0.040939991,2.9998854;3.50003946;10.4999253;14.0000213,4,1.0003635928200716,False,1.773247299999639
0.5,71,40001,4,3,False,True,False,False,0.49996248476657623,2.4538465595173402e-05,0.040617142;0.0473647154;0.0371369937,3.49996248;10.5000162;13.9999801,3,1.0000909477780149,False,1.8164614000015717
0.5,72,40001,4,3,False,True,False,False,0.4999766907274248,2.139361551230697e-05,0.0453758345;0.0464363978;0.0474206662,3.49997669;10.4999958;13.9999633,3,1.000084562959163,False,1.0545547999972769
0.5,73,40001,4,3,False,True,False,False,0.5000220493371819,2.0046800941919685e-05,0.0317170247;0.0407108183;0.0370041177,3.50002205;10.5000162;14.0000219,3,1.0000959386095891,False,1.7532627999971737
0.5,74,40001,4,3,False,True,False,False,0.5000012809045762,1.5577247151140245e-05,0.046986653;0.0419003127;0.0416655313,3.50000128;10.499976;13.9999785,3,1.0000857646964016,False,1.098489400003018
0.5,75,40001,4,3,False,True,False,False,0.4999724902236933,2.1536412510236858e-05,0.0431066425;0.0364795529;0.0332997629,3.49997249;10.5000278;14.0000093,3,1.0000960080482852,False,1.710735199998453
0.5,76,40001,4,4,True,True,True,False,0.0001283304703787458,2.4308789421093973e-05,0.0376892375;0.034724761;0.0415678006,3.00012833;3.50000846;10.4999722;13.9999633,4,1.0002617128573401,False,1.707738100001734
0.5,77,40001,4,3,False,True,False,False,0.5000420602514168,2.5394966460368096e-05,0.0483532087;0.0326874688;0.037968576,3.50004206;10.5000032;14.0000309,3,1.000101667164159,False,1.0438824000011664
0.5,78,40001,4,4,True,True,True,False,0.00024014342770684038,1.4613601641677576e-05,0.0303933023;0.0406620099;0.0473111568,2.99975986;3.49998028;10.5000048;14.0000193,4,1.0004777828923286,False,1.6627574999984063
0.5,79,40001,4,3,False,True,False,False,0.4999724902236933,1.7744472269320966e-05,0.0423108535;0.0456010855;0.0344732693,3.49997249;10.5000074;14.0000183,3,1.000093982649188,False,1.7172224999994796
0.5,80,40001,4,3,False,True,False,False,0.5000190745239212,2.537842252377705e-05,0.0333685842;0.037856169;0.0414545205,3.50001907;10.4999854;13.9999575,3,1.0000837892953482,False,1.716077499997482
0.5,81,40001,4,3,False,True,False,False,0.4999864620984926,1.2334102917084996e-05,0.0406307115;0.0465557684;0.0344077453,3.49998646;10.4999874;14.0000109,3,1.0000938477351649,False,1.7267332000010356
0.5,82,40001,4,3,False,True,False,False,0.5000446563054926,2.7912991852119262e-05,0.047184459;0.0340260418;0.0484246598,3.50004466;10.5000314;14.0000077,3,1.0000986092437723,False,1.5860146000013629
0.5,83,40001,4,4,True,True,True,False,0.00014437877317696746,1.7002809491017956e-05,0.03966314;0.0394137771;0.0348074046,2.99985562;3.4999825;10.5000198;13.9999863,4,1.00030272460512,False,1.7188562999981514
0.5,84,40001,4,4,True,True,True,False,1.7227383689366604e-05,4.1673579807148066e-05,0.0431312113;0.031990748;0.0333243058,2.99998277;3.49999288;10.500076;14.0000419,4,1.000138761276394,False,1.7371454999993148
0.5,85,40001,4,4,True,True,True,False,4.936783077269524e-05,1.126703429458568e-05,0.0335940163;0.0480873846;0.0485287258,3.00004937;3.50000968;10.5000016;14.0000225,4,1.0001337002097368,False,1.7506673999996565
0.5,86,40001,4,4,True,True,True,False,9.113878203415027e-05,3.884528507628696e-05,0.0399716561;0.0453977123;0.0362721538,3.00009114;3.50003946;10.4999874;13.9999355,4,1.0001370806953813,False,1.7068818999978248
0.5,87,40001,4,4,True,True,True,False,0.00012139304568137277,3.3474289609240295e-05,0.042445456;0.0351436083;0.0360812951,2.99987861;3.49996669;10.500011;13.9999439,4,1.0002288499521268,False,1.6928337999997893
0.5,88,40001,4,4,True,True,True,False,0.00022631241979897965,2.3980819094049366e-05,0.0334381759;0.0356030688;0.0487100437,3.00022631;3.50003526;10.499968;14.0000047,4,1.0004209179950516,False,1.6687376999980188
0.5,89,40001,4,4,True,True,True,False,4.021311118496129e-05,1.2270053688941593e-05,0.048381395;0.0461896764;0.0402377222,2.99995979;3.49999807;10.5000272;14.0000077,4,1.000168245577922,False,1.6320563000008406
0.5,90,40001,4,3,False,True,False,False,0.5000080774623825,2.364771980663723e-05,0.0444106959;0.0341293317;0.0385501749,3.50000808;10.499966;13.9999711,3,1.000085085854831,False,1.5246618000019225
0.5,91,40001,4,4,True,True,True,False,0.0001131329051098362,2.2807762877145404e-05,0.038958989;0.0475269019;0.0368473647,3.00011313;3.4999825;10.5000414;13.9999905,4,1.0002760610039294,False,1.6928515999970841
0.5,92,40001,4,3,False,True,False,False,0.4999996764549204,1.1071603043255607e-05,0.034866389;0.031935415;0.0355910709,3.49999968;10.5000198;13.9999869,3,1.0000908916778437,False,1.6213069000004907
0.5,93,40001,4,4,True,True,True,False,4.1204715605758224e-05,2.3725748490595795e-05,0.0439882233;0.0412180438;0.0348568907,2.9999588;3.50003168;10.4999926;13.9999679,4,1.0002253461303021,False,1.6712674000009429
0.5,94,40001,4,4,True,True,True,False,8.420135733633316e-05,1.535013545724458e-05,0.0311340036;0.0352377791;0.0419885719,2.9999158;3.49997867;10.500012;13.9999873,4,1.000195736253215,False,1.698948699999164
0.5,95,40001,4,4,True,True,True,False,0.0002486853020595703,1.2336667398452997e-05,0.0440796096;0.0495778746;0.0334486767,3.00024869;3.50001648;10.5000074;14.0000131,4,1.0005008357490763,False,1.8523827999997593
0.5,96,40001,4,3,False,True,False,False,0.5000126567252989,1.2129821172675767e-05,0.0389802348;0.0368565157;0.0405172859,3.50001266;10.5000074;13.9999837,3,1.000088968975075,False,1.84984489999988
0.5,97,40001,4,4,True,True,True,False,0.00010397818552210225,1.3734270827588565e-05,0.0385585142;0.0415404179;0.0345204656,2.99989602;3.49999387;10.4999748;14.0000099,4,1.0002563182488744,False,1.8585811000011745
