snr_total_db,replicate,sample_count,true_k,estimated_k,correct_k,frequency_mae_hz,amplitude_relative_error,phase_mae_rad,waveform_rmse,condition_design,ill_conditioned,runtime_seconds,component_1_snr_db,component_2_snr_db,component_3_snr_db,component_4_snr_db
-15.0,76,40001,4,4,True,0.00012176587056755839,0.05616297351451035,0.07672402337142531,0.0038789507484444275,1.0002549015166557,False,1.5486358999987715,-23.68992972768028,-21.391652600996625,-28.885711391923437,-17.259279437616367
-15.0,77,40001,4,4,True,0.00017122954683446157,0.09358088990318755,0.24215210011932958,0.0043978913124544635,1.000501974049638,False,1.5480924000003142,-23.68992972768028,-21.391652600996625,-28.885711391923437,-17.259279437616367
-15.0,78,40001,4,4,True,4.118700430233435e-05,0.073576433170666,0.11860619307295686,0.0034352867774281406,1.0001733942411282,False,1.4487560999987181,-23.68992972768028,-21.391652600996625,-28.885711391923437,-17.259279437616367
-15.0,79,40001,4,4,True,0.00010087429793392833,0.06927060963100833,0.18351666104549996,0.003853903294459981,1.0002445466358858,False,1.480924799994682,-23.68992972768028,-21.391652600996625,-28.885711391923437,-17.259279437616367
-15.0,80,40001,4,4,True,8.881183691367145e-05,0.06718670207516139,0.10603566990414336,0.0035591766304114455,1.0002120300344803,False,1.4972826999946847,-23.68992972768028,-21.391652600996625,-28.885711391923437,-17.259279437616367
-15.0,81,40001,4,4,True,6.126395919670014e-05,0.03641005755953965,0.06823414073233311,0.0025988899078358877,1.0001553419304756,False,1.5025600000008126,-23.68992972768028,-21.391652600996625,-28.885711391923437,-17.259279437616367
-15.0,82,40001,4,4,True,9.768381583807884e-05,0.13622068222401482,0.1465865264305726,0.004821143794712005,1.0001678096677784,False,1.452220600003784,-23.68992972768028,-21.391652600996625,-28.885711391923437,-17.259279437616367
-15.0,83,40001,4,3,False,nan,nan,nan,0.008339944046055732,1.0001387920708975,False,1.446078499997384,-23.68992972768028,-21.391652600996625,-28.885711391923437,-17.259279437616367
-15.0,84,40001,4,4,True,8.837904074698866e-05,0.11958471784947308,0.15032354074036697,0.004002466129272004,1.0002231836349587,False,1.4841811000005691,-23.68992972768028,-21.391652600996625,-28.885711391923437,-17.259279437616367
-15.0,85,40001,4,3,False,nan,nan,nan,0.008066987624254212,1.0001277286701038,False,1.4850227999995695,-23.68992972768028,-21.391652600996625,-28.885711391923437,-17.259279437616367
-15.0,86,40001,4,4,True,7.312019095284672e-05,0.07770654293860434,0.10033589432340656,0.0031159519238160857,1.000158742708559,False,1.4947896000012406,-23.68992972768028,-21.391652600996625,-28.885711391923437,-17.259279437616367
-15.0,87,40001,4,4,True,8.851262548947858e-05,0.12349863904379403,0.06849027138286815,0.0037303212764116275,1.0002814288765747,False,1.4609183000065968,-23.68992972768028,-21.391652600996625,-28.885711391923437,-17.259279437616367
-15.0,88,40001,4,4,True,0.00010585806606766557,0.027819380657861072,0.0815181359245706,0.003388212229094062,1.0002602715521884,False,1.523338299994066,-23.68992972768028,-21.391652600996625,-28.885711391923437,-17.259279437616367
-15.0,89,40001,4,4,True,0.0001007042957675841,0.09532020467507031,0.18980794309419016,0.004232844821352773,1.0001714476135282,False,1.4406803999954718,-23.68992972768028,-21.391652600996625,-28.885711391923437,-17.259279437616367
-15.0,90,40001,4,4,True,6.192883970979057e-05,0.0945339801848785,0.05783036363592209,0.002947651702036454,1.0001376298442108,False,1.5427792999980738,-23.68992972768028,-21.391652600996625,-28.885711391923437,-17.259279437616367
-15.0,91,40001,4,4,True,8.668141860135314e-05,0.03454117568418332,0.10953401858255271,0.0023831576256143783,1.0002752120660068,False,1.5287348000056227,-23.68992972768028,-21.391652600996625,-28.885711391923437,-17.259279437616367
-15.0,92,40001,4,4,True,9.81620434191699e-05,0.06522819715007688,0.14938174599677123,0.003491152576736784,1.0001695321850674,False,1.5717408999989857,-23.68992972768028,-21.391652600996625,-28.885711391923437,-17.259279437616367
-15.0,93,40001,4,3,False,nan,nan,nan,0.007867264536255832,1.0001050307979373,False,1.6114309999975376,-23.68992972768028,-21.391652600996625,-28.885711391923437,-17.259279437616367
-15.0,94,40001,4,4,True,5.1598733088575877e-05,0.04946336196863382,0.10369664425010114,0.0032307255602977403,1.000163546944358,False,1.6806141999986721,-23.68992972768028,-21.391652600996625,-28.885711391923437,-17.259279437616367
-15.0,95,40001,4,4,True,8.207318470987435e-05,0.034942549383099694,0.1426587171381137,0.0026229327737727136,1.0002942358593117,False,1.581729900004575,-23.68992972768028,-21.391652600996625,-28.885711391923437,-17.259279437616367
