scenario,case,separation_hz,phase_1_rad,phase_2_rad,wrapped_phase_difference_rad,noise_replicate,estimated_k,success,failure_type,max_frequency_error_hz,estimated_frequencies_hz,bic_improvement,residual_peak_ratio,candidate_origin,condition_design,runtime_seconds
identical_failed_seed_19,identical,0.0,-1.521901703677466,-1.5924374107610026,-0.07053570708353661,82,1,True,none,nan,13.50904271,-2873.715990650089,7.061416708796675,peel_residual_rescan,1.0461904936252875,0.21192710002651438
identical_failed_seed_19,identical,0.0,-1.521901703677466,-1.5924374107610026,-0.07053570708353661,83,1,True,none,nan,13.48898575,-2828.3436518700328,3.6240106991991166,peel_residual_rescan,1.0256962871767843,0.20692500000586733
identical_failed_seed_19,identical,0.0,-1.521901703677466,-1.5924374107610026,-0.07053570708353661,84,1,True,none,nan,13.49460396,-24.28614230558742,10.45971046799708,peel_residual_rescan,1.02163987767754,0.2074624000233598
identical_failed_seed_19,identical,0.0,-1.521901703677466,-1.5924374107610026,-0.07053570708353661,85,1,True,none,nan,13.50937527,-2748.57606358474,5.3780194142929405,peel_residual_rescan,1.0274228314470468,0.20644209999591112
identical_failed_seed_19,identical,0.0,-1.521901703677466,-1.5924374107610026,-0.07053570708353661,86,1,True,none,nan,13.51070238,-2916.341050519317,4.078463017632292,peel_residual_rescan,1.0327292414109877,0.19906469999114051
identical_failed_seed_19,identical,0.0,-1.521901703677466,-1.5924374107610026,-0.07053570708353661,87,1,True,none,nan,13.49501734,-3120.3611348603154,6.443935583450748,fine_grid_secondary_peak,1.0567402768023304,0.2184902000008151
identical_failed_seed_19,identical,0.0,-1.521901703677466,-1.5924374107610026,-0.07053570708353661,88,1,True,none,nan,13.48825847,-2273.9914074748813,4.370587963098692,peel_residual_rescan,1.1799002487002137,0.20506029995158315
identical_failed_seed_19,identical,0.0,-1.521901703677466,-1.5924374107610026,-0.07053570708353661,89,1,True,none,nan,13.51083725,-2971.838981589244,6.263131456885957,peel_residual_rescan,1.0097930722575323,0.19789479998871684
identical_failed_seed_19,identical,0.0,-1.521901703677466,-1.5924374107610026,-0.07053570708353661,90,1,True,none,nan,13.49778442,-1622.7966259195819,3.28506961902127,peel_residual_rescan,1.0380475005282035,0.21696029999293387
identical_failed_seed_19,identical,0.0,-1.521901703677466,-1.5924374107610026,-0.07053570708353661,91,1,True,none,nan,13.50970967,-2798.1963720836793,10.703049760570266,peel_residual_rescan,1.0345368422377856,0.21118400001432747
identical_failed_seed_19,identical,0.0,-1.521901703677466,-1.5924374107610026,-0.07053570708353661,92,1,True,none,nan,13.49812505,-1722.024229982926,3.118116892988945,peel_residual_rescan,1.0604353226238727,0.21622010000282899
identical_failed_seed_19,identical,0.0,-1.521901703677466,-1.5924374107610026,-0.07053570708353661,93,1,True,none,nan,13.50393726,-2859.599949365598,5.245217174274783,fine_grid_secondary_peak,1.0095387278909345,0.22529219998978078
identical_failed_seed_19,identical,0.0,-1.521901703677466,-1.5924374107610026,-0.07053570708353661,94,1,True,none,nan,13.512,-2865.7463824326405,2.9961871898734884,peel_residual_rescan,1.0392485262850149,0.23347109998576343
identical_failed_seed_19,identical,0.0,-1.521901703677466,-1.5924374107610026,-0.07053570708353661,95,1,True,none,nan,13.49708324,-2768.149106116616,4.488098382731289,peel_residual_rescan,1.0602622228052112,0.21671199996490031
identical_failed_seed_19,identical,0.0,-1.521901703677466,-1.5924374107610026,-0.07053570708353661,96,1,True,none,nan,13.49048766,-2796.569634180283,7.681289211977512,peel_residual_rescan,1.0072593521487954,0.21221880003577098
identical_failed_seed_19,identical,0.0,-1.521901703677466,-1.5924374107610026,-0.07053570708353661,97,1,True,none,nan,13.51189534,-1009.0791085697128,4.433056515715482,peel_residual_rescan,1.0165725683962517,0.21188289998099208
identical_failed_seed_19,identical,0.0,-1.521901703677466,-1.5924374107610026,-0.07053570708353661,98,1,True,none,nan,13.5071241,-74.92378427935182,4.728285094307539,peel_residual_rescan,1.0766551498058932,0.2155666999751702
identical_failed_seed_19,identical,0.0,-1.521901703677466,-1.5924374107610026,-0.07053570708353661,99,1,True,none,nan,13.49628367,-2787.325791654119,3.8327410613275505,peel_residual_rescan,1.0528994877163402,0.22454709996236488
identical_failed_seed_65,identical,0.0,1.892367513193041,1.0647396656652015,-0.8276278475278396,0,1,True,none,nan,13.49133741,-2586.1746464718017,8.551113723310854,fine_grid_secondary_peak,1.0750326570982158,0.23381920001702383
identical_failed_seed_65,identical,0.0,1.892367513193041,1.0647396656652015,-0.8276278475278396,1,1,True,none,nan,13.50813585,-41.903716553992126,6.101379358306922,peel_residual_rescan,1.0663094684685979,0.2320933000301011
identical_failed_seed_65,identical,0.0,1.892367513193041,1.0647396656652015,-0.8276278475278396,2,1,True,none,nan,13.51174351,-1728.4077681078634,11.603847997495956,peel_residual_rescan,1.0515200360384007,0.2263708999962546
identical_failed_seed_65,identical,0.0,1.892367513193041,1.0647396656652015,-0.8276278475278396,3,1,True,none,nan,13.50821209,-1593.9937366464,9.235769630479234,fine_grid_secondary_peak,1.085505923334561,0.23363229999085888
identical_failed_seed_65,identical,0.0,1.892367513193041,1.0647396656652015,-0.8276278475278396,4,1,True,none,nan,13.50878505,-2533.1146410495276,9.310902733269995,peel_residual_rescan,1.0656489228464818,0.2090633999905549
identical_failed_seed_65,identical,0.0,1.892367513193041,1.0647396656652015,-0.8276278475278396,5,1,True,none,nan,13.50802728,-2422.2864133019175,4.012010550336141,peel_residual_rescan,1.0059533486208103,0.24160639999900013
identical_failed_seed_65,identical,0.0,1.892367513193041,1.0647396656652015,-0.8276278475278396,6,1,True,none,nan,13.49521263,-2468.1445793742023,4.561925871444961,fine_grid_secondary_peak,1.0087781237568783,0.243961300002411
identical_failed_seed_65,identical,0.0,1.892367513193041,1.0647396656652015,-0.8276278475278396,7,1,True,none,nan,13.50468998,-2247.077399862086,3.8682445539796664,peel_residual_rescan,1.0011738566337227,0.2043959999573417
