case_name,replicate,sample_count,true_k,expected_k,estimated_k,success,frequency_mae_hz,noise_kind,theoretical_identifiable,condition_design,ill_conditioned,runtime_seconds,true_frequencies_hz,estimated_frequencies_hz,candidate_origin,residual_peak_ratio
very_low_snr_-25,38,40001,4,4,2,False,3.0000663592280197,gaussian,True,1.0000736368157008,False,0.2610255000181496,3.99999817;7.99992857;13.0000889;14.0000235,4.00004377;14.0000157,,nan
very_low_snr_-25,39,40001,4,4,1,False,10.000073500306453,gaussian,True,1.000041969271859,False,0.2503026999766007,3.99999817;7.99992857;13.0000889;14.0000235,14.0000717,,nan
very_low_snr_-25,40,40001,4,4,1,False,10.000238456229521,gaussian,True,1.000055816450962,False,0.09423680003965273,3.99999817;7.99992857;13.0000889;14.0000235,14.0002366,,nan
very_low_snr_-25,41,40001,4,4,1,False,10.000162468403175,gaussian,True,1.0000497008245544,False,0.23027180001372471,3.99999817;7.99992857;13.0000889;14.0000235,14.0001606,,nan
very_low_snr_-25,42,40001,4,4,1,False,9.999955741528847,gaussian,True,1.0000309467118618,False,0.23202669998863712,3.99999817;7.99992857;13.0000889;14.0000235,13.9999539,,nan
very_low_snr_-25,43,40001,4,4,1,False,9.999865547741653,gaussian,True,1.0000220334577545,False,0.09062199998879805,3.99999817;7.99992857;13.0000889;14.0000235,13.9998637,,nan
very_low_snr_-25,44,40001,4,4,1,False,9.999863564532813,gaussian,True,1.00002183386573,False,0.21009730000514537,3.99999817;7.99992857;13.0000889;14.0000235,13.9998617,,nan
very_low_snr_-25,45,40001,4,4,1,False,9.999711822966173,gaussian,True,1.0000062537765546,False,0.21560649998718873,3.99999817;7.99992857;13.0000889;14.0000235,13.99971,,nan
very_low_snr_-25,46,40001,4,4,1,False,10.000037300222527,gaussian,True,1.0000386676816773,False,0.09955960005754605,3.99999817;7.99992857;13.0000889;14.0000235,14.0000355,,nan
very_low_snr_-25,47,40001,4,4,1,False,10.000303825753512,gaussian,True,1.0000606725001768,False,0.09511870000278577,3.99999817;7.99992857;13.0000889;14.0000235,14.000302,,nan
very_low_snr_-25,48,40001,4,4,1,False,10.000045088384756,gaussian,True,1.000039384984521,False,0.10220650001429021,3.99999817;7.99992857;13.0000889;14.0000235,14.0000433,,nan
very_low_snr_-25,49,40001,4,4,1,False,10.000311001070504,gaussian,True,1.0000611811695037,False,0.23996269999770448,3.99999817;7.99992857;13.0000889;14.0000235,14.0003092,,nan
very_low_snr_-25,50,40001,4,4,2,False,5.000164397344925,gaussian,True,1.000121198607243,False,0.2496081999852322,3.99999817;7.99992857;13.0000889;14.0000235,8.00047696;13.9997786,,nan
very_low_snr_-25,51,40001,4,4,1,False,10.00013726538079,gaussian,True,1.0000475695660316,False,0.2785627000266686,3.99999817;7.99992857;13.0000889;14.0000235,14.0001354,,nan
very_low_snr_-25,52,40001,4,4,2,False,3.0002797656171296,gaussian,True,1.0001944043056947,False,0.30627840000670403,3.99999817;7.99992857;13.0000889;14.0000235,4.0004896;13.9999967,,nan
very_low_snr_-25,53,40001,4,4,2,False,4.999949269463134,gaussian,True,1.0001037895835376,False,0.2634117999696173,3.99999817;7.99992857;13.0000889;14.0000235,7.99974483;14.0000805,,nan
very_low_snr_-25,54,40001,4,4,2,False,5.000021246165341,gaussian,True,1.0000635872974797,False,0.26457529998151585,3.99999817;7.99992857;13.0000889;14.0000235,7.99998294;13.9999863,,nan
very_low_snr_-25,55,40001,4,4,1,False,9.999949936575458,gaussian,True,1.0000303838078712,False,0.10786530002951622,3.99999817;7.99992857;13.0000889;14.0000235,13.9999481,,nan
very_low_snr_-25,56,40001,4,4,1,False,10.000145666388253,gaussian,True,1.000048285393838,False,0.10354550002375618,3.99999817;7.99992857;13.0000889;14.0000235,14.0001438,,nan
very_low_snr_-25,57,40001,4,4,1,False,10.000224629027855,gaussian,True,1.000054739893084,False,0.3279004999785684,3.99999817;7.99992857;13.0000889;14.0000235,14.0002228,,nan
very_low_snr_-25,58,40001,4,4,1,False,9.999945123226492,gaussian,True,1.0000299158316845,False,0.32852569996612146,3.99999817;7.99992857;13.0000889;14.0000235,13.9999433,,nan
very_low_snr_-25,59,40001,4,4,1,False,10.000167047666093,gaussian,True,1.0000500827734324,False,0.10727380000753328,3.99999817;7.99992857;13.0000889;14.0000235,14.0001652,,nan
