layout,sensor_count,snr_db,runs,pd_any,pd_all,pd_source_mean,pd_source_min,pd_source_variance,false_alarm_runs,p_fa,score
bearing_right+gearbox_left+gearbox_right,3,-15.0,880,1.0,0.06363636363636363,0.6426136363636363,0.2840909090909091,0.12178880423553717,3600,0.014444444444444444,0.552830345356979
bearing_right+gearbox_left+gearbox_right,3,-12.0,880,1.0,0.5261363636363636,0.8613636363636363,0.6636363636363637,0.020965909090909084,3600,0.008055555555555555,0.8347695707070707
bearing_right+gearbox_left+gearbox_right,3,-10.0,880,1.0,0.8931818181818182,0.9732954545454545,0.9306818181818182,0.000839682334710744,3600,0.012777777777777779,0.9473200578225436
bearing_right+gearbox_left+gearbox_right,3,-5.0,880,1.0,1.0,1.0,1.0,0.0,3600,0.012777777777777779,0.9744444444444444
bearing_right+gearbox_left+input_shaft,3,-25.0,880,0.1806818181818182,0.0,0.04886363636363636,0.0125,0.0017813791322314051,3600,0.010555555555555556,0.026861835686409544
bearing_right+gearbox_left+input_shaft,3,-20.0,880,0.7965909090909091,0.0022727272727272726,0.2840909090909091,0.04090909090909091,0.054522856404958686,3600,0.008888888888888889,0.239051703110652
bearing_right+gearbox_left+input_shaft,3,-15.0,880,1.0,0.13977272727272727,0.7071022727272727,0.24431818181818182,0.09441333613119836,3600,0.007222222222222222,0.645451160217229
bearing_right+gearbox_left+input_shaft,3,-12.0,880,1.0,0.5079545454545454,0.868465909090909,0.5386363636363637,0.0369617607179752,3600,0.005833333333333334,0.8383183620652547
bearing_right+gearbox_left+input_shaft,3,-10.0,880,1.0,0.8261363636363637,0.9565340909090909,0.8318181818181818,0.0051900665030991736,3600,0.009444444444444445,0.9350501687686524
bearing_right+gearbox_left+input_shaft,3,-5.0,880,1.0,1.0,1.0,1.0,0.0,3600,0.010277777777777778,0.9794444444444445
bearing_right+gearbox_left+output_shaft,3,-25.0,880,0.44886363636363635,0.0,0.11534090909090909,0.007954545454545454,0.030830643078512392,3600,0.02361111111111111,0.05270336532943067
bearing_right+gearbox_left+output_shaft,3,-20.0,880,0.9954545454545455,0.0022727272727272726,0.3835227272727273,0.048863636363636366,0.14851659349173557,3600,0.012222222222222223,0.2848199860824151
bearing_right+gearbox_left+output_shaft,3,-15.0,880,1.0,0.09886363636363636,0.6661931818181819,0.33181818181818185,0.10770168840392562,3600,0.015555555555555555,0.581231226505108
bearing_right+gearbox_left+output_shaft,3,-12.0,880,1.0,0.6102272727272727,0.8889204545454545,0.7,0.01536826898243802,3600,0.011944444444444445,0.8573474311653467
bearing_right+gearbox_left+output_shaft,3,-10.0,880,1.0,0.9193181818181818,0.9798295454545455,0.9443181818181818,0.0005245189824380163,3600,0.011111111111111112,0.9573450637411042
bearing_right+gearbox_left+output_shaft,3,-5.0,880,1.0,1.0,1.0,1.0,0.0,3600,0.019444444444444445,0.9611111111111111
bearing_right+gearbox_right,2,-25.0,880,0.20227272727272727,0.0,0.054261363636363635,0.0011363636363636363,0.004861424974173553,3600,0.008055555555555555,0.03571954003816575
bearing_right+gearbox_right,2,-20.0,880,0.7375,0.0,0.24176136363636364,0.007954545454545454,0.06879156443698346,3600,0.008333333333333333,0.19069891475120523
bearing_right+gearbox_right,2,-15.0,880,0.9988636363636364,0.007954545454545454,0.546875,0.045454545454545456,0.18693335162706612,3600,0.006111111111111111,0.4411861019642447
bearing_right+gearbox_right,2,-12.0,880,1.0,0.08181818181818182,0.675,0.13522727272727272,0.12868866219008263,3600,0.010555555555555556,0.5895445577938476
bearing_right+gearbox_right,2,-10.0,880,1.0,0.2318181818181818,0.7826704545454546,0.23636363636363636,0.10134515431301654,3600,0.008888888888888889,0.7142200996111685
bearing_right+gearbox_right,2,-5.0,880,1.0,0.8193181818181818,0.9548295454545455,0.8193181818181818,0.006121109891528924,3600,0.014444444444444444,0.9228801016198921
bearing_right+gearbox_right+input_shaft,3,-25.0,880,0.15113636363636362,0.0,0.03920454545454545,0.0,0.0014930914256198347,3600,0.013333333333333334,0.011791333075068865
bearing_right+gearbox_right+input_shaft,3,-20.0,880,0.7318181818181818,0.0,0.25625,0.022727272727272728,0.05040708935950413,3600,0.012222222222222223,0.2066020108758035
bearing_right+gearbox_right+input_shaft,3,-15.0,880,0.9988636363636364,0.0125,0.6301136363636364,0.014772727272727272,0.15593394886363635,3600,0.01138888888888889,0.5293688841540404
bearing_right+gearbox_right+input_shaft,3,-12.0,880,1.0,0.11136363636363636,0.7480113636363637,0.11818181818181818,0.13488014914772728,3600,0.006944444444444444,0.6666824001736111
bearing_right+gearbox_right+input_shaft,3,-10.0,880,1.0,0.24772727272727274,0.8048295454545454,0.2556818181818182,0.10074146113119833,3600,0.006388888888888889,0.7416810371111685
bearing_right+gearbox_right+input_shaft,3,-5.0,880,1.0,0.8556818181818182,0.9639204545454545,0.8556818181818182,0.003905200800619833,3600,0.006111111111111111,0.9497456319229224
bearing_right+gearbox_right+output_shaft,3,-25.0,880,0.475,0.0,0.12272727272727273,0.0,0.037551007231404955,3600,0.022222222222222223,0.05950732466712581
bearing_right+gearbox_right+output_shaft,3,-20.0,880,0.9931818181818182,0.0,0.353125,0.03636363636363636,0.15113854274276858,3600,0.010833333333333334,0.25588906196194905
bearing_right+gearbox_right+output_shaft,3,-15.0,880,1.0,0.013636363636363636,0.5724431818181819,0.08295454545454546,0.17178355823863636,3600,0.019444444444444445,0.44766251380997485
bearing_right+gearbox_right+output_shaft,3,-12.0,880,1.0,0.22613636363636364,0.7542613636363636,0.2863636363636364,0.08506480823863637,3600,0.015,0.6817289595170455
bearing_right+gearbox_right+output_shaft,3,-10.0,880,1.0,0.5340909090909091,0.8761363636363636,0.5704545454545454,0.031871126033057855,3600,0.01361111111111111,0.8329785783976125
bearing_right+gearbox_right+output_shaft,3,-5.0,880,1.0,0.9943181818181818,0.9985795454545454,0.9943181818181818,6.053073347107546e-06,3600,0.01972222222222222,0.9591320744734275
bearing_right+input_shaft,2,-25.0,880,0.053409090909090906,0.0,0.013636363636363636,0.0,0.00012073863636363636,3600,0.007222222222222222,-0.0008684501262626262
bearing_right+input_shaft,2,-20.0,880,0.40795454545454546,0.0,0.12215909090909091,0.0,0.00810595299586777,3600,0.005,0.10810611441115703
