snr_total_db,replicate,sample_count,true_k,estimated_k,correct_k,frequency_mae_hz,amplitude_relative_error,phase_mae_rad,waveform_rmse,condition_design,ill_conditioned,runtime_seconds,component_1_snr_db,component_2_snr_db,component_3_snr_db,component_4_snr_db
-12.0,8,40001,4,4,True,8.481149321271086e-05,0.04148720162699111,0.07343914803528587,0.003228943638881744,1.0001304757015135,False,0.42039479996310547,-20.689929727680294,-18.391652600996647,-25.885711391923444,-14.259279437616357
-12.0,9,40001,4,4,True,6.113540219676583e-05,0.06670745000144737,0.09965232305754018,0.0026110788202493066,1.00023721259898,False,0.4121512999990955,-20.689929727680294,-18.391652600996647,-25.885711391923444,-14.259279437616357
-10.0,0,40001,4,4,True,5.045704713835253e-05,0.056050097877511654,0.04314833133096348,0.002550673897088398,1.0001813906698889,False,0.4546356000355445,-18.689929727680294,-16.391652600996647,-23.88571139192344,-12.259279437616355
-10.0,1,40001,4,4,True,9.427202983103289e-05,0.018617291602851138,0.08277172481386433,0.0023391889225182145,1.000235248269247,False,0.5245517000439577,-18.689929727680294,-16.391652600996647,-23.88571139192344,-12.259279437616355
-10.0,2,40001,4,4,True,2.6667518693179737e-05,0.030685473459447138,0.034305961504926485,0.001480106423218605,1.0001446319577825,False,0.4416063000098802,-18.689929727680294,-16.391652600996647,-23.88571139192344,-12.259279437616355
-10.0,3,40001,4,4,True,4.359812696941301e-05,0.017730558312788566,0.07067621123438933,0.0013444126363547715,1.0001921695449874,False,0.45113110000966117,-18.689929727680294,-16.391652600996647,-23.88571139192344,-12.259279437616355
-10.0,4,40001,4,4,True,3.582865356033249e-05,0.03677663516240007,0.05048954444835295,0.002352339881794237,1.0001755587905892,False,0.44675129995448515,-18.689929727680294,-16.391652600996647,-23.88571139192344,-12.259279437616355
-10.0,5,40001,4,4,True,1.7690427724148527e-05,0.046880784794093154,0.03188503465004763,0.0015807481155831762,1.0001641504820311,False,0.4402900999994017,-18.689929727680294,-16.391652600996647,-23.88571139192344,-12.259279437616355
-10.0,6,40001,4,4,True,3.4054355716128804e-05,0.02131198101894936,0.0415464326791708,0.0013450840146618395,1.0001584868113718,False,0.4410079999943264,-18.689929727680294,-16.391652600996647,-23.88571139192344,-12.259279437616355
-10.0,7,40001,4,4,True,6.511463837177711e-05,0.03895484029254433,0.09483897482220907,0.0023598063508996204,1.000269590337584,False,0.4054195999633521,-18.689929727680294,-16.391652600996647,-23.88571139192344,-12.259279437616355
-10.0,8,40001,4,4,True,1.8533599434156223e-05,0.028035018920311242,0.035949971846931716,0.0015031376197105872,1.0001652013147342,False,0.43295740004396066,-18.689929727680294,-16.391652600996647,-23.88571139192344,-12.259279437616355
-10.0,9,40001,4,4,True,5.856659757830229e-05,0.02078307013430318,0.10178316108933466,0.0017715838892194773,1.0001159659954144,False,0.43499169999267906,-18.689929727680294,-16.391652600996647,-23.88571139192344,-12.259279437616355
-5.0,0,40001,4,4,True,2.0916557359140775e-05,0.017997986585287486,0.027253999638105486,0.001304754498425216,1.0001405444726166,False,0.44089819997316226,-13.689929727680298,-11.391652600996647,-18.885711391923444,-7.259279437616356
-5.0,1,40001,4,4,True,3.586768001684337e-05,0.01770016903522518,0.06055568302281897,0.0012584556395177737,1.0001764918386729,False,0.4764799000113271,-13.689929727680298,-11.391652600996647,-18.885711391923444,-7.259279437616356
-5.0,2,40001,4,4,True,2.033529213341101e-05,0.019976733991081665,0.03989205705930807,0.0009352158116617065,1.0001449726391864,False,0.4369594999589026,-13.689929727680298,-11.391652600996647,-18.885711391923444,-7.259279437616356
-5.0,3,40001,4,4,True,2.4594435007796456e-05,0.006786885484235239,0.04216159831126457,0.0010282999347263468,1.0001339516230776,False,0.4529381999745965,-13.689929727680298,-11.391652600996647,-18.885711391923444,-7.259279437616356
-5.0,4,40001,4,4,True,3.374597632155307e-05,0.011230339238105765,0.07141904473723315,0.0010797816676278657,1.0001437192071732,False,0.42693499999586493,-13.689929727680298,-11.391652600996647,-18.885711391923444,-7.259279437616356
-5.0,5,40001,4,4,True,2.7807211519736974e-05,0.018563248791012666,0.03619421599438441,0.0008606263997990716,1.0001641022138614,False,0.41190770000685006,-13.689929727680298,-11.391652600996647,-18.885711391923444,-7.259279437616356
-5.0,6,40001,4,4,True,4.322013766933086e-05,0.03196126076414405,0.06638199569283697,0.0013076730075815485,1.000136012940972,False,0.417509599996265,-13.689929727680298,-11.391652600996647,-18.885711391923444,-7.259279437616356
-5.0,7,40001,4,4,True,2.9115529295187237e-05,0.020388639812770948,0.04112388026319247,0.0011177284303444605,1.0001887340601374,False,0.4067805999657139,-13.689929727680298,-11.391652600996647,-18.885711391923444,-7.259279437616356
-5.0,8,40001,4,4,True,1.3575694962630891e-05,0.019810497426855398,0.038928124749993465,0.0010337351560077116,1.0001454860668233,False,0.4006248000077903,-13.689929727680298,-11.391652600996647,-18.885711391923444,-7.259279437616356
-5.0,9,40001,4,4,True,3.828172824882348e-05,0.009954550392954314,0.053921227094123725,0.0010824939304928875,1.0001662991350815,False,0.4245574999949895,-13.689929727680298,-11.391652600996647,-18.885711391923444,-7.259279437616356
