lag,acf,reference_95_low,reference_95_high
53,-0.008397430410151362,-0.009799877502296828,0.009799877502296828
54,0.0012549587320987259,-0.009799877502296828,0.009799877502296828
55,-0.0017717390252354633,-0.009799877502296828,0.009799877502296828
56,-0.000720461271765638,-0.009799877502296828,0.009799877502296828
57,0.002534945609495935,-0.009799877502296828,0.009799877502296828
58,0.008361768856886755,-0.009799877502296828,0.009799877502296828
59,-0.0010847308565074035,-0.009799877502296828,0.009799877502296828
60,0.00012518141579438127,-0.009799877502296828,0.009799877502296828
61,-0.0036081377502503423,-0.009799877502296828,0.009799877502296828
62,-0.001163875427084248,-0.009799877502296828,0.009799877502296828
63,-0.004391682511664945,-0.009799877502296828,0.009799877502296828
64,-7.812503075838586e-05,-0.009799877502296828,0.009799877502296828
65,0.0055977404092322405,-0.009799877502296828,0.009799877502296828
66,-0.00033406823732694106,-0.009799877502296828,0.009799877502296828
67,0.006568326430554086,-0.009799877502296828,0.009799877502296828
68,-0.00530880992078989,-0.009799877502296828,0.009799877502296828
69,0.0005339777017663568,-0.009799877502296828,0.009799877502296828
70,-0.005176959975787645,-0.009799877502296828,0.009799877502296828
71,0.0006026198814101364,-0.009799877502296828,0.009799877502296828
72,0.006206205424472972,-0.009799877502296828,0.009799877502296828
73,-0.0037083010270470267,-0.009799877502296828,0.009799877502296828
74,0.005969872579724247,-0.009799877502296828,0.009799877502296828
75,-0.003962684273462422,-0.009799877502296828,0.009799877502296828
76,0.0012637338001335956,-0.009799877502296828,0.009799877502296828
77,-5.283431625445842e-05,-0.009799877502296828,0.009799877502296828
78,0.001214246214723622,-0.009799877502296828,0.009799877502296828
79,0.00618135435817268,-0.009799877502296828,0.009799877502296828
80,0.0021296408735569047,-0.009799877502296828,0.009799877502296828
81,0.0032689469003906522,-0.009799877502296828,0.009799877502296828
82,0.000956933117479319,-0.009799877502296828,0.009799877502296828
83,-0.002311845848477354,-0.009799877502296828,0.009799877502296828
84,0.0030756205125166284,-0.009799877502296828,0.009799877502296828
85,-0.008219190211008878,-0.009799877502296828,0.009799877502296828
86,0.0009316426923145729,-0.009799877502296828,0.009799877502296828
87,0.0069260509551192385,-0.009799877502296828,0.009799877502296828
88,-0.003444188048680326,-0.009799877502296828,0.009799877502296828
89,0.0004483555946148198,-0.009799877502296828,0.009799877502296828
90,-0.008341906491889458,-0.009799877502296828,0.009799877502296828
91,-0.0015045890297446293,-0.009799877502296828,0.009799877502296828
92,0.0004974570378068931,-0.009799877502296828,0.009799877502296828
93,-0.0012746109436351525,-0.009799877502296828,0.009799877502296828
94,-0.0038911795040761704,-0.009799877502296828,0.009799877502296828
95,0.003724099203233882,-0.009799877502296828,0.009799877502296828
96,0.007818471564890725,-0.009799877502296828,0.009799877502296828
97,0.0019127748683003584,-0.009799877502296828,0.009799877502296828
98,-0.005533754604533712,-0.009799877502296828,0.009799877502296828
99,-8.819185844511538e-05,-0.009799877502296828,0.009799877502296828
100,-0.002882187968087269,-0.009799877502296828,0.009799877502296828
