snr_weak_db,amplitude_ratio_weak_to_strong,amplitude_ratio_value,separation_hz,rayleigh_multiples,runs,successes,success_rate,success_ci95_low,success_ci95_high,mean_max_frequency_error_hz_if_success,median_condition_design,ill_conditioned_rate,mean_runtime_seconds
-12.0,1:3,3,0.001,0.4,8,5,0.625,0.30573785458380187,0.863158240538479,0.00014611538407560687,2.9709561666281736,0.0,2.0542978499997844
-12.0,1:3,3,0.002,0.8,8,7,0.875,0.5291051942301386,0.9775830911367038,6.83700742262364e-05,1.325446241212676,0.0,2.0328698125013034
-12.0,1:3,3,0.0025,1.0,8,8,1.0,0.6755843804891231,1.0,3.645627392079298e-05,1.014583761683295,0.0,2.0662151874967094
-12.0,1:3,3,0.003,1.2,8,8,1.0,0.6755843804891231,1.0,2.9957580955142227e-05,1.1738865658983635,0.0,2.0288535750005394
-12.0,1:3,3,0.004,1.6,8,8,1.0,0.6755843804891231,1.0,2.175290276629216e-05,1.212266996601755,0.0,1.9578353499982768
-12.0,1:10,10,0.001,0.4,8,4,0.5,0.21521252682444186,0.7847874731755582,0.00010957742610351318,3.277968774874697,0.0,2.8825731125007223
-12.0,1:10,10,0.002,0.8,8,5,0.625,0.30573785458380187,0.863158240538479,0.00014458441660796239,1.3355725977983015,0.0,3.2420798249986547
-12.0,1:10,10,0.0025,1.0,8,8,1.0,0.6755843804891231,1.0,8.166897993056033e-05,1.0153730085548216,0.0,1.9826563750002606
-12.0,1:10,10,0.003,1.2,8,8,1.0,0.6755843804891231,1.0,3.542135422640591e-05,1.1756137482751912,0.0,1.9974834374997954
-12.0,1:10,10,0.004,1.6,8,8,1.0,0.6755843804891231,1.0,2.6712673992457248e-05,1.209888502206197,0.0,2.0703836125003363
-18.0,1:1,1,0.001,0.4,8,0,0.0,0.0,0.3244156195108769,nan,1.0000453089556243,0.0,0.8290243000010378
-18.0,1:1,1,0.002,0.8,8,8,1.0,0.6755843804891231,1.0,0.0001048323277685892,1.2340658983155262,0.0,2.000942500000747
-18.0,1:1,1,0.0025,1.0,8,8,1.0,0.6755843804891231,1.0,0.00012023941421412943,1.0360119011863698,0.0,2.0037422374989546
-18.0,1:1,1,0.003,1.2,8,8,1.0,0.6755843804891231,1.0,7.328730041167297e-05,1.1740166512497685,0.0,2.0133768250016146
-18.0,1:1,1,0.004,1.6,8,8,1.0,0.6755843804891231,1.0,6.321500289763193e-05,1.2104173889504213,0.0,2.0033321874980174
-18.0,1:3,3,0.001,0.4,8,5,0.625,0.30573785458380187,0.863158240538479,0.00010933693240442466,2.473631539610685,0.0,1.3626329374992565
-18.0,1:3,3,0.002,0.8,8,6,0.75,0.40926987910258916,0.9285223111419724,0.00012430085073648436,1.312598274113983,0.0,2.022600499998589
-18.0,1:3,3,0.0025,1.0,8,8,1.0,0.6755843804891231,1.0,0.0001498382368887441,1.0250992512434811,0.0,2.0210238125000615
-18.0,1:3,3,0.003,1.2,8,8,1.0,0.6755843804891231,1.0,4.098659403106719e-05,1.1743973155437981,0.0,2.090514587501275
-18.0,1:3,3,0.004,1.6,8,8,1.0,0.6755843804891231,1.0,3.996217283774861e-05,1.215569056712236,0.0,2.118128150003031
-18.0,1:10,10,0.001,0.4,8,4,0.5,0.21521252682444186,0.7847874731755582,0.0001246457626016273,2.438253211175845,0.0,2.5718314250007097
-18.0,1:10,10,0.002,0.8,8,6,0.75,0.40926987910258916,0.9285223111419724,8.484122561499181e-05,1.2907237423983604,0.0,2.0078041874994597
-18.0,1:10,10,0.0025,1.0,8,8,1.0,0.6755843804891231,1.0,6.081358597964659e-05,1.0121621631355482,0.0,2.0658008125010383
-18.0,1:10,10,0.003,1.2,8,8,1.0,0.6755843804891231,1.0,9.22410628519943e-05,1.1700986417633141,0.0,1.9833530124988101
-18.0,1:10,10,0.004,1.6,8,8,1.0,0.6755843804891231,1.0,4.3787358452673786e-05,1.2055410269721771,0.0,1.774107725000249
