layout,sensor_count,snr_db,runs,pd_any,pd_all,pd_source_mean,pd_source_min,pd_source_variance,false_alarm_runs,p_fa,score
bearing_right+gearbox_left,2,-12.0,880,1.0,0.6511363636363636,0.90625,0.7579545454545454,0.010276665805785125,2800,0.06392857142857143,0.6701680010330578
bearing_right+gearbox_left,2,-10.0,880,1.0,0.9261363636363636,0.9815340909090909,0.9420454545454545,0.0005619673295454551,2800,0.04392857142857143,0.8271097301136364
bearing_right+gearbox_left,2,-5.0,880,1.0,1.0,1.0,1.0,0.0,2800,0.05035714285714286,0.82375
bearing_right+gearbox_left+gearbox_right,3,-25.0,880,0.5647727272727273,0.0,0.15994318181818182,0.014772727272727272,0.04090545906508265,2800,0.06321428571428571,-0.11039336905991734
bearing_right+gearbox_left+gearbox_right,3,-20.0,880,0.9931818181818182,0.005681818181818182,0.43806818181818186,0.07954545454545454,0.13453286415289256,2800,0.05607142857142857,0.08037874483471077
bearing_right+gearbox_left+gearbox_right,3,-15.0,880,1.0,0.22840909090909092,0.7326704545454545,0.42159090909090907,0.07104363055268595,2800,0.039285714285714285,0.5099180978822314
bearing_right+gearbox_left+gearbox_right,3,-12.0,880,1.0,0.6988636363636364,0.9184659090909091,0.8136363636363636,0.006919147081611572,2800,0.04285714285714286,0.7601629325929752
bearing_right+gearbox_left+gearbox_right,3,-10.0,880,1.0,0.9363636363636364,0.9840909090909091,0.9534090909090909,0.0003622159090909097,2800,0.044642857142857144,0.82740625
bearing_right+gearbox_left+gearbox_right,3,-5.0,880,1.0,1.0,1.0,1.0,0.0,2800,0.031785714285714285,0.88875
bearing_right+gearbox_left+input_shaft,3,-25.0,880,0.3965909090909091,0.0,0.11164772727272726,0.013636363636363636,0.01203665741219008,2800,0.061785714285714284,-0.11904626162190084
bearing_right+gearbox_left+input_shaft,3,-20.0,880,0.9590909090909091,0.011363636363636364,0.44772727272727275,0.0875,0.08517368285123966,2800,0.05714285714285714,0.14551885330578518
bearing_right+gearbox_left+input_shaft,3,-15.0,880,1.0,0.2715909090909091,0.7852272727272728,0.3488636363636364,0.06987538739669422,2800,0.04321428571428571,0.5501268078512397
bearing_right+gearbox_left+input_shaft,3,-12.0,880,1.0,0.6806818181818182,0.9178977272727273,0.7011363636363637,0.01580731856921487,2800,0.05107142857142857,0.7201789449896695
bearing_right+gearbox_left+input_shaft,3,-10.0,880,1.0,0.925,0.98125,0.928409090909091,0.0009326575413223126,2800,0.06142857142857143,0.7651308109504132
