time_s,detrended_observation,fitted_four_component_signal,residual
0.61,0.12365115630684739,-0.021624495326855894,0.1452756516337033
0.62,-0.11056901560853066,-0.06384270094117239,-0.04672631466735827
0.63,-0.05587787678697772,-0.07154790828611411,0.015670031499136393
0.64,-0.1767023321606088,-0.04547118102250868,-0.1312311511381001
0.65,0.07817911161791118,-0.00837968066924488,0.08655879228715606
0.66,0.1492528677155081,0.012161540911273654,0.13709132680423444
0.67,-0.021632514256172946,0.003827307653873763,-0.02545982191004671
0.68,0.084230021706057,-0.022000134876885184,0.10623015658294219
0.69,0.14148142100579694,-0.039287222919497156,0.1807686439252941
0.7,-0.08609611093284411,-0.02725049074337634,-0.058845620189467776
0.71,0.07323092611171983,0.013376388034563114,0.05985453807715672
0.72,0.10217571477077178,0.05959020634196869,0.04258550842880309
0.73,-0.016188608819330288,0.08163884979403822,-0.09782745861336851
0.74,0.20590509936246765,0.06389418104444967,0.142010918318018
0.75,0.1181337702050206,0.016263893472089366,0.10186987673293123
0.76,-0.06338325004839346,-0.03201390216701604,-0.03136934788137742
0.77,0.029669059625287483,-0.05191035251821192,0.0815794121434994
0.78,-0.01883451696847857,-0.03383712124847607,0.0150026042799975
0.79,0.058371196654392374,0.006736439556435256,0.05163475709795712
0.8,0.11117597057660131,0.040876820527964576,0.07029915004863674
0.81,0.018646338407883257,0.04648392733653919,-0.02783758892865593
0.82,0.12587200795678122,0.022888872328394042,0.10298313562838718
0.83,0.12122162390858414,-0.010260859996359947,0.13148248390494408
0.84,-0.05069369082878892,-0.028453302208621075,-0.022240388620167844
0.85,0.04794325430593303,-0.020563536346570235,0.06850679065250326
0.86,0.07028627716078797,0.0033447079180993233,0.06694156924268865
0.87,-0.12298244159086809,0.020103633207779376,-0.14308607479864746
0.88,0.011855023851807856,0.01126517401989292,0.0005898498319149362
0.89,0.0245087607588118,-0.02246464428949445,0.04697340504830625
0.9,0.06916538805463573,-0.06073824164225845,0.12990362969689417
0.91,-0.2940715213727663,-0.07743287756240812,-0.2166386438103582
0.92,-0.07270761619637338,-0.058937150522148055,-0.013770465674225324
0.93,-0.14051811099053843,-0.01381970357777943,-0.126698407412759
0.94,-0.026367286053459487,0.03289424984841665,-0.05926153590187613
0.95,0.04138398095079846,0.056602583334593747,-0.015218602383795285
0.96,-0.018611385770720603,0.049124067909747535,-0.06773545368046814
